"","3'AMP","5'AMP","5'UMP","alanine","amMP","arginine","asparagine","aspartate","ciliatine","citrulline","cysteate","cysteine 2","DHPS","folate","GABA","glutamic acid","glutamine","glutathione 2","glycine","guanosine","histidine","homoserine betaine","isethionate","isoleucine","kynurenine","leucine","lysine 2","malic acid","methionine","ornithine 2","pantothenic acid","phenylalanine","proline","putrescine 2","sarcosine","serine","sn-glycerol 3-phosphate","spermidine 3","taurine","threonine","tryptamine","tryptophan","tyrosine","uridine","valine"
"CINAR_BC_100",0.0377935166698529,0.164110940110048,0.1218477000141,0.986412344996517,0.000704662314222823,0.518968825971416,0.484412461105939,0.981425363824311,0.042462522565794,0.282038259407206,0.488392606052873,1.5887385487776,2.11149295169685,0.0490899805218296,0.046706267281055,1.39468646210827,2.25137495827105,0.124450707254259,1.9511742325896,0.110489696487101,0.0509250065176191,0.0424986934944793,0.620626765938393,0.330355503260395,0.0760830093110866,0.266314553376887,0.492366460788023,1.4296441537188,0.00578840884772328,0.476089870197029,0.0731298704966227,0.246462183191591,0.437836565188122,0.00366431080669402,0.369012523485754,1.39578436536009,0.308365352521103,0.000895155434951834,1.75777681044881,0.520273577522952,0.00119142503825718,0.0898058988308845,0.119294160738255,0.211832859113696,0.455363025923494
"CINAR_BC_45",0.007818692869026,0.088615550869336,0.101508010025069,1.8639752767266,0.000704662314222823,0.502297481987218,0.742896096883156,1.78712713336414,0.141730550506179,0.418355452416724,0.350019145863738,1.26085105038214,1.08535334238702,0.0490899805218296,0.00267976683860735,1.08663872249086,0.970468451924788,0.0687601373755593,2.78313709292678,0.0691412169377097,0.807822901761155,0.0424986934944793,0.453014684106147,0.863490494625365,0.101702771820523,0.686254075220087,1.15045353125703,0.926302949402567,0.00578840884772328,1.52379219933912,0.0445111628199948,0.47344208629147,0.696683435491099,0.058975805841573,0.303372542289851,2.82389491539324,0.35016293534582,0.000895155434951834,1.66857062393277,1.32171601467048,0.00119142503825718,0.131842879918773,0.119294160738255,0.102470963215653,1.01104268959478
"CINAR_BC_77",0.00884712046568785,0.00642382214138497,0.0792636577220235,2.64911504886641,0.000704662314222823,0.634776087443787,1.22301548507181,2.61011602847113,0.0576134945794727,0.920828070076405,0.342890435664029,1.28046889208509,0.982371634302895,0.0490899805218296,0.255761065505917,1.65001242860104,1.02549919518061,0.00474526888060423,3.71781549189119,0.00651283749783321,2.03700642217241,0.0424986934944793,0.714986684099834,1.56018992775921,0.245490275369165,1.30375395573003,1.7291464646782,1.28935307702523,0.231897832314978,2.33072640398873,0.0445304320362608,1.0772727776285,1.25373623888635,0.291286865856473,0.15762579972451,3.82287436843732,0.227697109315022,0.0716096298119421,1.1811856482312,2.09294747769527,0.00119142503825718,0.357954296324929,0.119294160738255,0.138869834046604,1.78175264216626
"CINAR_BC_85",0.016284305880436,0.00642382214138497,0.13281641872578,0.952182745036923,0.000704662314222823,0.699002024494729,0.773174830789724,1.25157145789323,0.0814515601542536,0.162182972958053,0.528481554943286,2.2369154520403,1.68640878163564,0.0490899805218296,0.0623860574088278,1.81508503290996,1.63876055322601,0.222699106939081,2.41688615055854,0.419731082365279,0.0509250065176191,0.589773023119751,1.16238775147304,0.265563766017397,0.0799653883773068,0.222256857280417,0.665052447719739,1.10225549104759,0.00578840884772328,0.323360472585136,0.108685535851994,0.308029775803071,0.446819854056873,0.00366431080669402,0.542767399361699,1.04060704190011,0.293023409260216,0.0120978311637656,2.87548125253807,0.382156800851228,0.0348834877163453,0.119497043605384,0.119294160738255,0.387635094007618,0.30668510966205
"CINAR_BC_98",0.0190492645145552,0.258909029768002,0.198808866964162,3.29337044211879,0.000704662314222823,1.13099218042784,1.56250873879212,3.6486973105853,0.10444033687826,1.61791667921632,0.437059814994081,1.45736388033906,3.53651571967425,0.0490899805218296,0.113141243785067,4.40686021583542,4.17356932790649,0.342231567210935,4.22877886771596,0.158203254953388,2.38029123065208,2.23543410940052,1.6257611420397,1.72202684060569,0.257310671191552,1.49960856339169,2.4794140468411,1.44492569524094,0.00578840884772328,2.97276462615107,0.035796756762058,1.00673261704533,1.84579493831939,0.0476995093288569,0.547382158595072,4.4536026515975,0.310541115914126,0.0623195327387882,2.06690988060912,2.70702912676365,0.00119142503825718,0.403347899047342,0.119294160738255,0.282638861244594,2.09206028043479
"CINAR_BC_101",0.015649615274432,0.00642382214138497,0.0760838619382988,2.2729853303466,0.000704662314222823,0.450844717455465,1.00500644160336,2.49572103804845,0.0900717114772644,0.612906325047682,0.346961432265994,1.47605340274783,0.720749188642432,0.0490899805218296,0.135649783035041,1.40438755040832,1.10350051401227,0.0742384390918484,3.12547835916862,0.167073744069106,1.5763191614828,0.0424986934944793,0.70090700994968,1.40659157864507,0.181445317278712,1.14736291719845,1.67949006597432,2.30513649470486,0.00578840884772328,2.18502622184244,0.0383643148292349,0.8454484967143,1.22008747567027,0.0422089574006059,0.185465774285997,3.64265892449064,0.213320473955089,0.000895155434951834,1.10671831361842,1.92861049256276,0.00119142503825718,0.251118130183751,0.119294160738255,0.147396523452932,1.51385131061694
"CINAR_BC_99",0.0147058024350325,0.229059005776401,0.200913371256732,1.18246509710425,0.000704662314222823,0.542067642075384,0.511321119796033,1.18218263935323,0.0382732869924861,0.106636769367593,0.515917731533244,1.63436911895028,2.09899748452536,0.0490899805218296,0.0437265969613373,1.80668775012891,2.09360299801476,0.21709068175429,1.8167022012059,0.091361665373509,0.0509250065176191,0.0424986934944793,0.824601268755304,0.333462395144266,0.0747207257506744,0.252614411948226,0.550733374212474,1.66904444748908,0.00578840884772328,0.39770483883756,0.068844400970707,0.223892602870494,0.340947594023355,0.00366431080669402,0.527293314281155,1.19144257545107,0.33555341893546,0.000895155434951834,1.94867498665826,0.39163790894933,0.00119142503825718,0.0725180483788253,0.119294160738255,0.194000709783278,0.390318448366903
"CINAR_BC_69",0.0612642447814898,0.460052491264159,0.270415090262954,2.22150040500206,0.000704662314222823,0.783520382984582,1.33173864972363,2.69283151072747,0.0903068245516311,0.626892455340968,0.425927222818719,1.27725762189058,4.11806761875166,0.0490899805218296,0.0530106835897074,4.18700894278963,4.12705223285292,0.28892028109776,3.19269707971437,0.00651283749783321,1.01781486602848,2.34961400129454,1.56608283197553,0.859588148601261,0.106502248797173,0.72298896871385,1.29192455732355,1.1321846658458,0.00578840884772328,1.47370229630251,0.0319120275339922,0.522356257560529,1.00439548644197,0.0464303714320662,0.624687316962563,2.89780548110023,0.564093267800147,0.058149676454036,1.88270650933338,1.4709424978127,0.00119142503825718,0.164829963729168,0.119294160738255,0.281111154789129,1.11518585948695
"CINAR_BC_86",0.000725573909632558,0.00642382214138497,0.0767898832511857,1.83841384771347,0.000704662314222823,0.40955691649534,0.997448015901717,1.85104244497399,0.0814316188273815,0.65012538542783,0.350507023431521,1.31126668418228,1.19659406041047,0.0490899805218296,0.00267976683860735,1.27885027895174,1.33336731523098,0.0813670833954515,2.92917166614885,0.134517351262256,1.37436785104496,0.0424986934944793,0.592036948473058,0.829653489338453,0.137267896670507,0.6798826958245,1.09124415147021,0.827697064996331,0.00578840884772328,1.58436408618789,0.0440679053947765,0.536669247079299,0.701011524636196,0.00366431080669402,0.130905283172439,3.04040174745652,0.164965965495117,0.000895155434951834,1.35285048742235,1.40169875380801,0.00119142503825718,0.208467520616379,0.119294160738255,0.154681064292387,1.09594164246854
"CINAR_BC_62",0.000725573909632558,0.00642382214138497,0.128862970952462,2.60904837013585,0.000704662314222823,0.698193298196868,1.47783774322694,2.92233278926718,0.107572909722279,0.862043771058224,0.433888164326951,1.51116603251832,3.44586631150083,0.0490899805218296,0.0301344457953237,3.20622603555825,3.22388166647035,0.138354468064781,3.82409550751446,0.270861279508552,1.95783156608037,1.45380145628521,1.38862981356513,1.56142359653049,0.32540305909649,1.29690847148096,1.91464107308144,0.873999432166687,0.118485377823607,2.35109940047289,0.0427887593605403,1.0494523489814,1.51654266430332,0.0696046085541189,0.335867350622242,3.71199830947076,0.35610055014047,0.0829514320816319,1.64099049102372,2.13367646349739,0.00119142503825718,0.354528113060629,0.119294160738255,0.264714151674248,1.72576390357977
