sample_id	dispersion	metab_deriv_label	sample_type	sampling_date	sampling_time	sampling_day	site	potential_outlier	not_outlier
Metab_326	0.5211225447524	CINAR_BC_117	seawater	20210126	peak_photo	Day5	LB_seagrass	NA	117
Metab_327	0.4892941020695475	CINAR_BC_102	seawater	20210126	dawn	Day5	Yawzi	NA	102
Metab_328	0.5174722706744602	CINAR_BC_87	seawater	20210125	dawn	Day4	LB_seagrass	NA	87
Metab_329	0.48468261122480033	CINAR_BC_119	seawater	20210126	peak_photo	Day5	LB_seagrass	NA	119
Metab_331	0.48947796515606623	CINAR_BC_82	seawater	20210125	dawn	Day4	Yawzi	NA	82
Metab_332	0.4871877680802283	CINAR_BC_120	seawater	20210126	peak_photo	Day5	LB_seagrass	NA	120
Metab_334	0.5236518066838963	CINAR_BC_83	seawater	20210125	dawn	Day4	LB_seagrass	NA	83
Metab_337	0.51188943114152885	CINAR_BC_85	seawater	20210125	dawn	Day4	LB_seagrass	NA	85
Metab_219	0.5525087975837485	CINAR_BC_81B	seawater	20210123	dawn	Day2	LB_seagrass	NA	81B
Metab_224	0.4933835323005809	CINAR_BC_42	seawater	20210123	peak_photo	Day2	Tektite	42	NA
Metab_231	0.49556703656754064	CINAR_BC_36	seawater	20210123	dawn	Day2	Tektite	NA	36
Metab_233	0.5395235735441245	CINAR_BC_49	seawater	20210123	peak_photo	Day2	LB_seagrass	NA	49
