transformation	method	stress	tries
counts	horn	0.07573667843792507	20
relabund	horn	0.07573667869047222	20
clr	horn	5.6124786479166535e-5	20
relabund_clr	horn	0.07672710389013922	20
counts	chord	0.07075312885155699	44
relabund	chord	0.07063287427207425	52
clr	chord	0.10154309144225566	100
relabund_clr	chord	0.07512903000933756	73
counts	bray	0.08131526267552378	38
relabund	bray	0.07510116922159941	84
counts	hellinger	0.08203088289758428	100
relabund	hellinger	0.08207894826546912	97
