grouping	metab_deriv_label	dispersion	sample_id	sample_type	sampling_date	sampling_time	sampling_day	site
all	CINAR_BC_91	0.294155716092149	Metab_276	seawater	20210125	peak_photo	Day4	Yawzi
all	CINAR_BC_78	0.2933856807463373	Metab_225	seawater	20210123	dawn	Day2	Yawzi
all	CINAR_BC_82	0.29145854495679163	Metab_331	seawater	20210125	dawn	Day4	Yawzi
all	CINAR_BC_114	0.3011565961131157	Metab_317	seawater	20210126	peak_photo	Day5	Yawzi
all	CINAR_BC_40	0.29180406782955276	Metab_228	seawater	20210123	dawn	Day2	Yawzi
all	CINAR_BC_46	0.3663212224825323	Metab_230	seawater	20210123	peak_photo	Day2	Yawzi
all	CINAR_BC_44	0.33618107531926544	Metab_227	seawater	20210123	peak_photo	Day2	Tektite
all	CINAR_BC_80	0.29262089851634715	Metab_313	seawater	20210125	dawn	Day4	Yawzi
all	CINAR_BC_81A	0.29362993614323685	Metab_319	seawater	20210125	dawn	Day4	Tektite
all	CINAR_BC_53	0.30068139429750657	Metab_284	seawater	20210124	dawn	Day3	Yawzi
all	CINAR_BC_76	0.3821615288733704	Metab_222	seawater	20210123	dawn	Day2	Yawzi
site.time	CINAR_BC_85	0.07355445842506042	Metab_337	seawater	20210125	dawn	Day4	LB_seagrass
site.time	CINAR_BC_88	0.07814605386565036	Metab_328	seawater	20210125	dawn	Day4	LB_seagrass
site.time	CINAR_BC_103	0.07931714834301581	Metab_324	seawater	20210126	dawn	Day5	LB_seagrass
site.time	CINAR_BC_63	0.10007303033175359	Metab_281	seawater	20210124	dawn	Day3	LB_seagrass
site.time	CINAR_BC_83	0.07895633687116468	Metab_334	seawater	20210125	dawn	Day4	LB_seagrass
site.time	CINAR_BC_109	0.20950225934080177	Metab_309	seawater	20210126	dawn	Day5	LB_seagrass
site.time	CINAR_BC_37	0.05529983321782869	Metab_237	seawater	20210123	dawn	Day2	LB_seagrass
site.time	CINAR_BC_41	0.06629750508545136	Metab_240	seawater	20210123	dawn	Day2	LB_seagrass
site.time	CINAR_BC_81B	0.08450401420385019	Metab_219	seawater	20210123	dawn	Day2	LB_seagrass
site.time	CINAR_BC_110	0.15859645269489223	Metab_318	seawater	20210126	dawn	Day5	LB_seagrass
site.time	CINAR_BC_57	0.07560082556791874	Metab_272	seawater	20210124	dawn	Day3	LB_seagrass
site.time	CINAR_BC_54	0.05770911089273692	Metab_287	seawater	20210124	dawn	Day3	LB_seagrass
site.time	CINAR_BC_77	0.14119244852946694	Metab_234	seawater	20210123	dawn	Day2	Tektite
site.time	CINAR_BC_101	0.12913568797544497	Metab_312	seawater	20210126	dawn	Day5	Tektite
site.time	CINAR_BC_84	0.14202097793636348	Metab_316	seawater	20210125	dawn	Day4	Tektite
site.time	CINAR_BC_75	0.12025432822432032	Metab_322	seawater	20210125	dawn	Day4	Tektite
site.time	CINAR_BC_79	0.2782520890880517	Metab_241	seawater	20210123	dawn	Day2	Tektite
site.time	CINAR_BC_105	0.2123345340288603	Metab_321	seawater	20210126	dawn	Day5	Tektite
site.time	CINAR_BC_108	0.23911492024063186	Metab_315	seawater	20210126	dawn	Day5	Tektite
site.time	CINAR_BC_62	0.19073184889393968	Metab_275	seawater	20210124	dawn	Day3	Tektite
site.time	CINAR_BC_36	0.3579947411219602	Metab_231	seawater	20210123	dawn	Day2	Tektite
site.time	CINAR_BC_60	0.1139653049294317	Metab_278	seawater	20210124	dawn	Day3	Tektite
site.time	CINAR_BC_56	0.4134838014814999	Metab_290	seawater	20210124	dawn	Day3	Tektite
site.time	CINAR_BC_81A	0.11171400186020827	Metab_319	seawater	20210125	dawn	Day4	Tektite
site.time	CINAR_BC_111	0.08322010097507324	Metab_306	seawater	20210126	dawn	Day5	Yawzi
site.time	CINAR_BC_102	0.24375661488662528	Metab_327	seawater	20210126	dawn	Day5	Yawzi
site.time	CINAR_BC_86	0.0512797723546133	Metab_325	seawater	20210125	dawn	Day4	Yawzi
site.time	CINAR_BC_61	0.10678885802265306	Metab_292	seawater	20210124	dawn	Day3	Yawzi
site.time	CINAR_BC_39	0.07012432720028815	Metab_228	seawater	20210123	dawn	Day2	Yawzi
site.time	CINAR_BC_107	0.06561370534378187	Metab_303	seawater	20210126	dawn	Day5	Yawzi
site.time	CINAR_BC_55	0.09626957781414394	Metab_295	seawater	20210124	dawn	Day3	Yawzi
site.time	CINAR_BC_78	0.07715084543820325	Metab_225	seawater	20210123	dawn	Day2	Yawzi
site.time	CINAR_BC_82	0.060019064372914654	Metab_331	seawater	20210125	dawn	Day4	Yawzi
site.time	CINAR_BC_40	0.05992060446284995	Metab_228	seawater	20210123	dawn	Day2	Yawzi
site.time	CINAR_BC_80	0.07187882372862148	Metab_313	seawater	20210125	dawn	Day4	Yawzi
site.time	CINAR_BC_53	0.08592427440211906	Metab_284	seawater	20210124	dawn	Day3	Yawzi
