sample_id	original_ID	sample_type	product_conc	site	sampling_date	sampling_time	sampling_day	dna_extracted	depth	fcm_label	doc_label	metab_spe_label	metab_deriv_label	fcm_Prochlorococcus	fcm_Synechococcus	fcm_Picoeukaryotes	fcm_Unpigmented_cells	batch	is.neg	dna_conc
Metab_261	261	seawater	39	Tektite	20210125	peak_photo	Day4	20240718	9.1	301	79	180	CINAR_BC_94	20418	51972	1182	601000	2	FALSE	17.2
Metab_261	261	seawater	39	Tektite	20210125	peak_photo	Day4	20240718	9.1	301	79	180	CINAR_BC_92	20418	51972	1182	601000	2	FALSE	17.2
Metab_264	264	seawater	20.6	Tektite	20210125	peak_photo	Day4	20240722	9.1	304	78	185	CINAR_BC_90	24765	64341	1261	638000	2	FALSE	11.8
Metab_266	266	seawater	33	Tektite	20210124	peak_photo	Day3	20240722	7.3	299	64	165	CINAR_BC_72	15744	52142	1169	490000	2	FALSE	0.118
Metab_267	267	seawater	22.2	Yawzi	20210125	peak_photo	Day4	20240718	8.5	291	83	186	CINAR_BC_97	19224	60231	1326	630000	2	FALSE	4.48
Metab_269	269	seawater	38.4	Yawzi	20210124	peak_photo	Day3	20240722	8.9	298	63	164	CINAR_BC_71	15980	60126	932	582000	2	FALSE	11.6
Metab_270	270	seawater	42.8	Tektite	20210125	peak_photo	Day4	20240718	9.1	288	80	183	CINAR_BC_98	23439	55714	1392	591000	2	FALSE	0.694
Metab_271	271	seawater	30.4	Yawzi	20210124	peak_photo	Day3	20240722	8.9	260	61	163	CINAR_BC_67	20156	70355	1458	668000	2	FALSE	8.68
Metab_272	272	seawater	28	LB_seagrass	20210124	dawn	Day3	20240724	3.4	242	56	153	CINAR_BC_57	2377	18396	1602	303000	2	FALSE	13.4
Metab_273	273	seawater	43.8	LB_seagrass	20210125	peak_photo	Day4	20240718	3.6	297	85	181	CINAR_BC_99	13538	68582	1668	704000	2	FALSE	1
Metab_274	274	seawater	35.2	Yawzi	20210124	peak_photo	Day3	20240722	8.9	263	62	168	CINAR_BC_69	16492	56633	1339	569000	2	FALSE	9.66
Metab_275	275	seawater	16.8	Tektite	20210124	dawn	Day3	20240724	6.6	251	53	157	CINAR_BC_62	24607	62949	1129	540000	2	FALSE	11.3
Metab_276	276	seawater	31	Yawzi	20210125	peak_photo	Day4	20240718	8.5	307	81	187	CINAR_BC_91	19407	63343	1169	644000	2	FALSE	14.4
Metab_277	277	seawater	18	Tektite	20210124	peak_photo	Day3	20240722	7.3	296	59	161	CINAR_BC_64	16781	59154	1313	553000	2	FALSE	10.9
Metab_277	277	seawater	18	Tektite	20210124	peak_photo	Day3	20240722	7.3	296	59	161	CINAR_BC_65	16781	59154	1313	553000	2	FALSE	10.9
Metab_277	277	seawater	18	Tektite	20210124	peak_photo	Day3	20240722	7.3	296	59	161	CINAR_BC_66	16781	59154	1313	553000	2	FALSE	10.9
Metab_278	278	seawater	35.6	Tektite	20210124	dawn	Day3	20240724	6.6	254	55	152	CINAR_BC_58	24226	59982	1129	525000	2	FALSE	14.2
Metab_278	278	seawater	35.6	Tektite	20210124	dawn	Day3	20240724	6.6	254	55	152	CINAR_BC_59	24226	59982	1129	525000	2	FALSE	14.2
Metab_278	278	seawater	35.6	Tektite	20210124	dawn	Day3	20240724	6.6	254	55	152	CINAR_BC_60	24226	59982	1129	525000	2	FALSE	14.2
Metab_279	279	seawater	27.4	LB_seagrass	20210125	peak_photo	Day4	20240718	3.6	294	84	182	CINAR_BC_95	13735	77761	2022	913000	2	FALSE	9.1
Metab_280	280	seawater	24.6	LB_seagrass	20210124	peak_photo	Day3	20240722	3.5	257	66	166	CINAR_BC_73	0	25947	276	13.1	2	FALSE	9.64
Metab_281	281	seawater	23.4	LB_seagrass	20210124	dawn	Day3	20240724	3.4	245	58	160	CINAR_BC_63	4556	30871	2311	534000	2	FALSE	4.62
