"","metabolites","adaptedDervLabel","File_Name_Neg","File_Name_Pos","rowID_full","rep_group","n","Site","Site_abv","group","Date","Time","sample_type","Sampling_Day","collection_depth_m","DNA_no","Before_mass_g","After_mass_g","vol_difference","vol_ml","SPE_label","Deriv_label","Deriv_mass_g","FCM_no","DOC_no","HOBO_temp_F","HOBO_lumens","Dry_shipper","Notes","Analyze_","matlabName","DateRun","filename","NPOC","TN","CINARSampleBox","AddedDetailFromNotesInsideSampleBox","Experiment","Sample_ID","Filtration_typeOrReef","TimeOrDay","TreatmentOrTimeCollected","IncubationOrTimeOfDay","Prochlorococcus","Synechococcus","Picoeukaryotes","Unpigmented_cells","date_time","concentration","LOD","LOQ","QuantFlag","LODflag","site_time","log2_concen"
"11","3'AMP","CINAR_BC_113","mtab_CINAR_BC_lumos_032822_35","mtab_CINAR_BC_lumos_032822_148","69","23",3,"Yawzi","YZ","coral",2021-01-26,13:28:00,"peak_photo","Day5",8.8,308,1868.8,329.5,1539.3,1.5,198,"Deriv_113",53.2,330,104,81.09,464,NA,NA,1,"CINAR_BC_113","1-Apr-22","CINAR_104",81.49413511,11.05883768,1,"USVI 2021","Temporal",330,"Yawzi","1/26/2021",13:28:00,"peak_photo",18593,57762,1497,591000,2021-01-26 13:28:00,0.000503056,0.005030561,0.015244124,TRUE,TRUE,"Yawzi_peak_photo",0.000725573909632558
"12","3'AMP","CINAR_BC_88","mtab_CINAR_BC_lumos_032822_112","mtab_CINAR_BC_lumos_032822_225","18","6",3,"LB_seagrass","SG","seagrass",2021-01-25,06:44:00,"dawn","Day4",3.8,328,1822.2,331.6,1490.6,1.45,170,"Deriv_87, Deriv_88, Deriv_89*",NA,343,77,79.853,1,"cane5",NA,1,"CINAR_BC_88","2-Apr-22","CINAR_77",81.53213128,7.123243331,1,"USVI 2021","Temporal",343,"LB_seagrass","1/25/2021",06:44:00,"dawn",14024,65339,3467,716000,2021-01-25 06:44:00,0.012077069,0.005030561,0.015244124,TRUE,FALSE,"LB_seagrass_dawn",0.017319154489326
"13","3'AMP","CINAR_BC_70","mtab_CINAR_BC_lumos_032822_25","mtab_CINAR_BC_lumos_032822_138","7","3",3,"LB_seagrass","SG","seagrass",2021-01-24,14:01:00,"peak_photo","Day3",3.5,286,1976,332.4,1643.6,1.6,169,"Deriv_70",59.3,255,65,82.33,1920,"cane4",NA,1,"CINAR_BC_70","2-Apr-22","CINAR_65",85.07180274,7.190074581,1,"USVI 2021","Temporal",255,"LB_seagrass","1/24/2021",14:01:00,"peak_photo",3033,26669,1733,515000,2021-01-24 14:01:00,0.026470225,0.005030561,0.015244124,FALSE,FALSE,"LB_seagrass_peak_photo",0.0376917795479703
"14","3'AMP","CINAR_BC_52","mtab_CINAR_BC_lumos_032822_75","mtab_CINAR_BC_lumos_032822_188","3","1",3,"LB_seagrass","SG","seagrass",2021-01-23,13:56:00,"peak_photo","Day2",3.8,189,2074.4,332.2,1742.2,1.7,147,"Deriv_52",53.1,265,48,81.975,1088,NA,NA,1,"CINAR_BC_52","31-Mar-22","CINAR_48",87.35294215,8.037315731,1,"USVI 2021","Temporal",265,"LB_seagrass","1/23/2021",13:56:00,"peak_photo",2298,17083,1458,343000,2021-01-23 13:56:00,0.035952872,0.005030561,0.015244124,FALSE,FALSE,"LB_seagrass_peak_photo",0.0509583728329527
"15","3'AMP","CINAR_BC_103","mtab_CINAR_BC_lumos_032822_29","mtab_CINAR_BC_lumos_032822_142","22","8",3,"LB_seagrass","SG","seagrass",2021-01-26,06:31:00,"dawn","Day5",3.7,324,1969.2,331.7,1637.5,1.6,192,"103",53,359,91,80.029,0,NA,NA,1,"CINAR_BC_103","31-Mar-22","CINAR_91",88.46354914,8.956106937,1,"USVI 2021","Temporal",359,"LB_seagrass","1/26/2021",06:31:00,"dawn",11082,56870,2547,756000,2021-01-26 06:31:00,0.008396781,0.005030561,0.015244124,TRUE,FALSE,"LB_seagrass_dawn",0.0120634179513466
"16","3'AMP","CINAR_BC_80","mtab_CINAR_BC_lumos_032822_56","mtab_CINAR_BC_lumos_032822_169","66","22",3,"Yawzi","YZ","coral",2021-01-25,06:29:00,"dawn","Day4",8.4,313,2010.7,332.1,1678.6,1.64,172,"Deriv_80",52.6,352,73,80.206,0,"cane5",NA,1,"CINAR_BC_80","1-Apr-22","CINAR_73",72.67657244,7.669936746,1,"USVI 2021","Temporal",352,"Yawzi","1/25/2021",06:29:00,"dawn",25500,66705,1865,631000,2021-01-25 06:29:00,0.000503056,0.005030561,0.015244124,TRUE,TRUE,"Yawzi_dawn",0.000725573909632558
"17","3'AMP","CINAR_BC_90","mtab_CINAR_BC_lumos_032822_100","mtab_CINAR_BC_lumos_032822_213","38","13",3,"Tektite","TK","coral",2021-01-25,13:00:00,"peak_photo","Day4",9.1,264,1971.6,332.6,1639,1.6,185,"Deriv_90",52.7,304,78,81.266,960,NA,NA,1,"CINAR_BC_90","31-Mar-22","CINAR_78",90.52187411,7.679071453,1,"USVI 2021","Temporal",304,"Tektite","1/25/2021",13:00:00,"peak_photo",24765,64341,1261,638000,2021-01-25 13:00:00,0.021850919,0.005030561,0.015244124,FALSE,FALSE,"Tektite_peak_photo",0.0311847323735219
"18","3'AMP","CINAR_BC_71","mtab_CINAR_BC_lumos_032822_59","mtab_CINAR_BC_lumos_032822_172","59","19",3,"Yawzi","YZ","coral",2021-01-24,13:37:00,"peak_photo","Day3",8.9,269,2073.1,332.2,1740.9,1.7,164,"Deriv_71",58.1,298,63,81.09,432,"cane4",NA,1,"CINAR_BC_71","31-Mar-22","CINAR_63",85.93136519,8.791736033,1,"USVI 2021","Temporal",298,"Yawzi","1/24/2021",13:37:00,"peak_photo",15980,60126,932,582000,2021-01-24 13:37:00,0.008015479,0.005030561,0.015244124,TRUE,FALSE,"Yawzi_peak_photo",0.0115177929103264
"19","3'AMP","CINAR_BC_61","mtab_CINAR_BC_lumos_032822_37","mtab_CINAR_BC_lumos_032822_150","62","20",3,"Yawzi","YZ","coral",2021-01-24,06:26:00,"dawn","Day3",8.8,292,1963.9,332.7,1631.2,1.59,155,"Deriv_61",56.6,249,52,80.382,0,NA,NA,1,"CINAR_BC_61","1-Apr-22","CINAR_52",78.24407195,8.644640611,1,"USVI 2021","Temporal",249,"Yawzi","1/24/2021",06:26:00,"dawn",26944,73953,1825,636000,2021-01-24 06:26:00,0.000503056,0.005030561,0.015244124,TRUE,TRUE,"Yawzi_dawn",0.000725573909632558
"20","3'AMP","CINAR_BC_72","mtab_CINAR_BC_lumos_032822_114","mtab_CINAR_BC_lumos_032822_227","34","11",4,"Tektite","TK","coral",2021-01-24,13:05:00,"peak_photo","Day3",7.3,266,1960.1,332.7,1627.4,1.59,165,"Deriv_72",55.9,299,64,81.442,864,"cane4",NA,1,"CINAR_BC_72","31-Mar-22","CINAR_64",78.74943996,6.802426633,1,"USVI 2021","Temporal",299,"Tektite","1/24/2021",13:05:00,"peak_photo",15744,52142,1169,490000,2021-01-24 13:05:00,0.008599992,0.005030561,0.015244124,TRUE,FALSE,"Tektite_peak_photo",0.0123541189647248
