pair1	pair2	t	p.value	boot.p.value	q05	q10
LB_seagrass.Day2	LB_seagrass.Day3	-0.874757079090812	0.3950732299593137	0.3950732299593137	0.07826337545604271	0.1380186847341749
LB_seagrass.Day2	LB_seagrass.Day4	-0.16219608102152427	0.8725677374165532	0.8725677374165532	0.09388123330245053	0.18495743166206646
LB_seagrass.Day2	LB_seagrass.Day5	-1.0619372426414653	0.3007072180808218	0.3007072180808218	0.11540822177466747	0.2023519020425951
LB_seagrass.Day2	Tektite.Day2	-0.6368927723313764	0.5298674154786245	0.5298674154786245	0.10880290531279621	0.18244760615279204
LB_seagrass.Day2	Tektite.Day3	2.69835433234158	0.012280109034640033	0.012280109034640033	0.05172618839535702	0.12518264045626865
LB_seagrass.Day2	Tektite.Day4	1.5669361964489197	0.12836667232679586	0.12836667232679586	0.07924496690262345	0.17047190478064617
LB_seagrass.Day2	Tektite.Day5	2.334499224640992	0.027120718606504855	0.027120718606504855	0.046960845589636535	0.11279211381636606
LB_seagrass.Day2	Yawzi.Day2	0.0421693174546788	0.9667220193653574	0.9667220193653574	0.09170262513887584	0.18159690773308276
LB_seagrass.Day2	Yawzi.Day3	1.9652752702010667	0.05937363437807896	0.05937363437807896	0.03403780149102287	0.0850563321758781
LB_seagrass.Day2	Yawzi.Day4	1.0579583443741891	0.2998034256236003	0.2998034256236003	0.05176594161021463	0.1205635209476518
LB_seagrass.Day2	Yawzi.Day5	1.8952726584475081	0.06867908057275433	0.06867908057275433	0.029335029269514187	0.08109796276425223
LB_seagrass.Day3	LB_seagrass.Day4	0.5875063850883359	0.562858455180001	0.562858455180001	0.09165069505006546	0.1353408917275711
LB_seagrass.Day3	LB_seagrass.Day5	-0.27703267466962817	0.7842297358675756	0.7842297358675756	0.10259834816337915	0.1806391462429269
LB_seagrass.Day3	Tektite.Day2	0.2797747080415756	0.782554817726681	0.782554817726681	0.10522152119473421	0.16253981800246545
LB_seagrass.Day3	Tektite.Day3	2.7798847814389154	0.016328041950917763	0.016328041950917763	0.056848888257816005	0.08713157208165653
LB_seagrass.Day3	Tektite.Day4	2.0227247787681386	0.060977784582978124	0.060977784582978124	0.0661432771486487	0.11177497083436586
LB_seagrass.Day3	Tektite.Day5	2.5633863495613687	0.022538663359384745	0.022538663359384745	0.04661036108089091	0.08720935419173834
LB_seagrass.Day3	Yawzi.Day2	0.7658182613676764	0.4520358129240408	0.4520358129240408	0.07341702767365714	0.1290536875302951
LB_seagrass.Day3	Yawzi.Day3	2.3145788933416025	0.034814865972921785	0.034814865972921785	0.04648504373497054	0.09020171796273097
LB_seagrass.Day3	Yawzi.Day4	1.6271318786114393	0.11996263463657408	0.11996263463657408	0.049393762502312887	0.09617236750342358
LB_seagrass.Day3	Yawzi.Day5	2.276599061016665	0.035634569895663465	0.035634569895663465	0.04414636463317034	0.09211978480201417
LB_seagrass.Day4	LB_seagrass.Day5	-0.7988898968428337	0.43136277660267586	0.43136277660267586	0.11752033776349265	0.19770209647602313
LB_seagrass.Day4	Tektite.Day2	-0.3578746010474497	0.72320779893458	0.72320779893458	0.10338409175987621	0.17793339944846093
LB_seagrass.Day4	Tektite.Day3	2.006533433729754	0.05934557409659695	0.05934557409659695	0.09068763902991943	0.15840216839262167
LB_seagrass.Day4	Tektite.Day4	1.3030745599457259	0.20558501096946485	0.20558501096946485	0.10355551191857694	0.16567429317290772
LB_seagrass.Day4	Tektite.Day5	1.8205105239830826	0.08286216506133663	0.08286216506133663	0.09419253942483209	0.16004281638574605
LB_seagrass.Day4	Yawzi.Day2	0.17030655026926905	0.8659945171312065	0.8659945171312065	0.11375347347342367	0.18560570211679048
