sample_ID,original_ID,sample_type,dna_conc,product_conc,site,sampling_date,sampling_time,sampling_day,dna_extracted,depth,fcm_label,fcm_Prochlorococcus,fcm_Synechococcus,fcm_Picoeukaryotes,fcm_Unpigmented_cells,doc_label,metab_spe_label,metab_deriv_label
pcr_control_05_34_cyc,(-) 34,pcr_control_05_34_cyc,,1.04,,,,,,,,,,,,,,
bowhead_3,Bowhead_3,bowhead_3,,39.6,,,,,,,,,,,,,,
control_102_jb,C-102 Jeanne,control_102_jb,,1.73,,,,,,,,,,,,,,
Metab_K1,K1,control_extraction_01,,0.676,K1,,,,20240711,,,,,,,,,
Metab_K10,K10,control_extraction_10,,1.64,K2,,,,20240711,,,,,,,,,
Metab_K11,K11,control_extraction_11,,0.74,K3,,,,20240712,,,,,,,,,
Metab_K2,K2,control_extraction_02,,0.468,K4,,,,20240712,,,,,,,,,
Metab_K3,K3,control_extraction_03,,1.03,K5,,,,20240718,,,,,,,,,
Metab_K4,K4,control_extraction_04,,0.736,K6,,,,20240718,,,,,,,,,
Metab_K5,K5,control_extraction_05,,0.622,K7,,,,20240722,,,,,,,,,
Metab_K6,K6,control_extraction_06,,0.858,K8,,,,20240722,,,,,,,,,
Metab_K7,K7,control_extraction_07,,0.258,K9,,,,20240723,,,,,,,,,
Metab_K8,K8,control_extraction_08,,0.512,K10,,,,20240723,,,,,,,,,
Metab_K9,K9,control_extraction_09,,3.86,K11,,,,20240724,,,,,,,,,
mock_community,Mock_Even,mock_community,,38.4,,,,,,,,,,,,,,
