"","2'deoxycytidine","4-aminobenzoic acid","5'AMP","GABA","HMP","N-acetyl-muramic acid","adenosine","amMP","arginine","asparagine","cysteine 2","cytidine","folate","glutamine","glutathione 2","glycine","guanosine","homoserine betaine","ornithine 2","pyridoxine","sarcosine","spermidine 3","taurine","tryptamine","tyrosine","2'deoxyguanosine","3'AMP","5'UMP","DHPS","alanine","aspartate","ciliatine","citrulline","cysteate","glutamic acid","histidine","inosine","isethionate","isoleucine","kynurenine","leucine","lysine 2","malic acid","methionine","pantothenic acid","phenylalanine","proline","putrescine 2","serine","sn-glycerol 3-phosphate","threonine","tryptophan","uridine","valine"
"CINAR_BC_67",0.0705375494370725,1.61586405405935,0.128331804115637,0.0658907629912769,0.00426071069730373,0.253454499065502,1.77342221239171,0.00167537465148417,0.597896730359813,1.48481775596889,0.821789073692749,0.104545020941552,0.381944606967474,5.13108567110359,0.0907836660699366,13.7872917528628,0.0320338828896515,2.03847271920461,5.21990382954284,0.454860072680289,0.17352200762087,0.0187737458242957,2.41016318175689,0.00330923908195748,0.390479431709206,0.00731341516635789,0.014910735423454,0.0993966948909527,4.69575447684266,7.02675740135045,6.60604845310698,0.0446345399272028,1.41225390499601,0.279838049392893,6.32683956365452,2.94715308646946,0.516605367278804,1.0578934317375,1.71698456144707,0.131472784910892,1.33203921237013,3.03689136091149,1.79759583698752,0.0149966461483517,0.0223779467032951,0.761326889669655,2.01336469144106,0.0358737419294186,16.7025615034983,0.308962027219828,4.46006936695859,0.176195562287041,0.11167143213781,2.64283104728773
"CINAR_BC_68",0.0705375494370725,1.16570922203089,0.0436418179214108,0.0874522979399066,0.00426071069730373,0.253454499065502,1.77342221239171,0.00167537465148417,0.520383633832709,0.930202528339754,1.48870076774431,0.0405667268134196,0.381944606967474,1.53382888801601,0.05325580590628,12.3149326494914,0.0320338828896515,0.514868203367964,3.46303459072546,0.454860072680289,0.174238684513301,0.00225379532022322,1.28506037692052,0.00330923908195748,0.390479431709206,0.00731341516635789,0.00717401677842805,0.0622804505814564,1.11563952916815,4.53181390476188,4.64344315932372,0.0436370068120373,1.21271229668074,0.270766088285476,2.53899215625793,2.03083067972532,0.516605367278804,0.60453081413552,1.26237914739074,0.103615607692586,0.992040653016995,2.11823443005737,0.984993838362891,0.0149966461483517,0.0298515551446408,0.618764124322961,1.33294951820804,0.0102405692390408,11.833568200369,0.260929652031565,3.17705550667666,0.144217938729439,0.0862792661949829,1.7782247245867
"CINAR_BC_69",0.0705375494370725,0.861141187904131,0.375591866670266,0.0374276190379075,0.00426071069730373,0.253454499065502,1.77342221239171,0.00167537465148417,0.721326034734523,1.51705833048905,1.42377809616297,0.169218687300412,0.381944606967474,16.4729613273644,0.221725590958077,8.14318670199427,0.0320338828896515,4.09687863743568,1.77733710160392,0.454860072680289,0.541876610037382,0.0411296073383881,2.68766220572812,0.00330923908195748,0.390479431709206,0.00731341516635789,0.0433796822388592,0.206154810532069,16.3644838030584,3.66378216500702,5.4658117778276,0.0645965713080493,0.544235148492006,0.343435654432066,17.214417365421,1.02484975897069,0.516605367278804,1.96099659642281,0.814520239167912,0.0766148643772138,0.650598195852012,1.44854474024887,1.19190407964655,0.0149966461483517,0.0223661874456286,0.43629914522769,1.00610272962873,0.0327065574212088,6.45291848812561,0.478458007835873,1.77202928317067,0.121033945414749,0.21513041028958,1.16622914415985
"CINAR_BC_70",0.0705375494370725,0.398878332071625,0.208191381230423,0.0933518268421455,0.00426071069730373,0.253454499065502,1.77342221239171,0.00167537465148417,0.846784125654708,0.582534412730402,2.96978921954533,0.207660319960385,0.381944606967474,3.71646857710219,0.189824656556769,4.90070628449065,0.132592986494233,0.369974640630395,0.367217175739833,0.454860072680289,0.625504310630339,0.0238613555440306,4.03894436895435,0.00330923908195748,1.13682611618953,0.00731341516635789,0.0264702253945207,0.168838999658245,4.89265408230796,2.0528340474269,1.43694761810574,0.0993262044481451,0.119028533697486,0.586915635155899,3.01105833290263,0.13935927239766,0.516605367278804,0.990650458502653,0.354225473827047,0.0793666682765548,0.232815709531437,0.604733053836244,1.9215032165667,0.0149966461483517,0.0830939747829955,0.290472202281648,0.415081250034925,0.0285976602334857,1.61958535475066,0.548086541760096,0.458990291819969,0.0904018873388484,0.207831996450718,0.437699416218577
"CINAR_BC_71",0.0705375494370725,0.901692662354015,0.0436418179214108,0.0405499076590478,0.00426071069730373,0.253454499065502,1.77342221239171,0.00167537465148417,0.256392947388293,0.932875855390945,1.27807863293315,0.12894702544335,0.381944606967474,1.11213430370207,0.0356884309981472,8.1313943122399,0.0320338828896515,1.09644893360911,2.83451867934826,0.454860072680289,0.0925376434382116,0.00225379532022322,1.11700448398636,0.00330923908195748,0.390479431709206,0.00731341516635789,0.00801547854217284,0.0557297149180884,1.0910681242025,3.79472642763812,3.76609218701636,0.0277968060978779,0.360759812990107,0.206071560101319,1.30481342542456,0.917293222732817,0.516605367278804,0.384278998785162,1.38090032825308,0.0749864254068924,1.05020789751609,1.9514836373239,0.661949147055347,0.0149966461483517,0.0227336768790422,0.630629323343969,1.10764423283213,0.0102405692390408,9.1587510358326,0.147966746817258,2.3307845772278,0.0504376685396607,0.0548657831408092,1.75452562582807
"CINAR_BC_72",0.0705375494370725,1.53500127976735,0.0436418179214108,0.0615853367991299,0.00426071069730373,0.253454499065502,1.77342221239171,0.00167537465148417,0.580342672009467,1.45847684632837,1.31368939018238,0.0405667268134196,0.381944606967474,1.27736051579658,0.0253106473946562,13.3460517628444,0.0320338828896515,0.120331498606669,4.69879144720074,1.15719700287525,0.141360829274031,0.00225379532022322,1.01178633629962,0.00330923908195748,0.390479431709206,0.00731341516635789,0.00859999239082695,0.0562183518121365,1.1674622467236,5.89613825175238,6.27450833937829,0.0284921676044362,0.653605876752606,0.15431322479999,2.71502759981303,2.49865625333893,0.516605367278804,0.365074419052644,2.16550954561002,0.184331174580443,1.57408174008804,3.06306136761903,0.521093755831102,0.0149966461483517,0.0251568569345222,1.12387966412601,1.93195463431623,0.0102405692390408,14.9921407379593,0.177249081170831,3.98406962918121,0.233585063704494,0.0753868738410235,2.67356648780176
"CINAR_BC_73",0.0705375494370725,1.09981475439884,0.0835570180667207,0.050776012930756,0.00426071069730373,0.253454499065502,1.77342221239171,0.00167537465148417,0.549379269548945,0.904637214127996,1.06307501136024,0.112437064369864,0.381944606967474,1.49846661669323,0.0797306716094809,11.8742054988166,0.0320338828896515,0.353307815489387,3.72354288435492,0.454860072680289,0.165798831812518,0.00225379532022322,1.39904848820497,0.00330923908195748,0.390479431709206,0.00731341516635789,0.00436677835535362,0.0598009998965546,1.36748428543044,4.54530021734527,4.9294901622262,0.0274677754435886,0.756847726957551,0.206543998975752,2.88803229592676,1.72838624638852,0.516605367278804,0.422796186670734,1.47382545631671,0.132954971512495,1.10258778217337,2.1050014653906,1.04913593881265,0.0149966461483517,0.0306789297842537,0.649827912620698,1.29424390937378,0.031766924657468,12.5944241219591,0.230464236576238,3.10415055979955,0.200591004268903,0.0875699896743169,1.8183493630488
"CINAR_BC_74",0.0705375494370725,0.624724233430831,0.271431399709192,0.073290806063154,0.00426071069730373,0.253454499065502,1.77342221239171,0.00167537465148417,1.2428358535581,0.677572289643029,2.70529938479201,0.145711101466829,0.381944606967474,3.06391573167377,0.189158166423588,7.12284796005885,0.182800610409033,0.328778148814901,0.684252776435286,0.454860072680289,0.594324301075129,0.016442771635724,4.91361302351011,0.00330923908195748,1.298129753444,0.00731341516635789,0.0253894500979956,0.178477673643715,4.88872765807623,2.41904535290114,1.83684402504071,0.105079578614203,0.298120839999648,0.570979036825462,2.68213808976747,0.456941375404567,0.516605367278804,1.20599141610437,0.490199144631617,0.0813537548301625,0.354615046282799,0.861887912198058,2.10808075447621,0.0149966461483517,0.0872110214870658,0.361336147689697,0.724381225646804,0.032462897114105,2.93216263556716,0.455009945213479,0.769182997248553,0.0841389493495937,0.233172031973437,0.70568645455745
"CINAR_BC_75",0.0705375494370725,0.869079233859291,0.0517941483312124,0.0203361994001519,0.00426071069730373,0.253454499065502,1.77342221239171,0.00167537465148417,0.279125047579323,0.839448857704133,1.45113146689989,0.0405667268134196,0.381944606967474,0.848637856329911,0.0253106473946562,8.95813457926433,0.0320338828896515,0.120331498606669,3.51090952968465,0.454860072680289,0.107263768604717,0.00225379532022322,1.18349625206743,0.00330923908195748,0.390479431709206,0.00731341516635789,0.00586858735071675,0.0457093738361636,0.774273408012013,3.81126105326133,4.31068970914168,0.0441642337602661,0.536908701157818,0.231742260584657,1.35582652802763,1.93484688739963,0.516605367278804,0.562698037682429,1.11726905444165,0.125621006358576,0.924899983905153,1.7507111042845,0.420757294284099,0.0149966461483517,0.0276609520692467,0.618719190298432,1.06898258345405,0.0381212450369877,11.4249931605903,0.116548627198783,2.54599191146254,0.129656942970553,0.0775712984917674,1.66446973252441
"CINAR_BC_76",2.27712035777266,0.183745334657547,0.0436418179214108,0.00479301485904989,0.00426071069730373,0.253454499065502,1.77342221239171,0.00167537465148417,0.276963275197195,0.470143940036822,1.6322601338065,0.0405667268134196,0.381944606967474,1.37435348031346,0.055160311334127,2.78461696952814,0.0320338828896515,0.120331498606669,0.370916548266181,0.454860072680289,0.136178062279745,0.00225379532022322,1.63512304389324,0.00330923908195748,0.390479431709206,0.00731341516635789,0.00436677835535362,0.0581045680751364,1.55226625485137,0.679112261144552,0.961880653847703,0.0473853532469846,0.224695609956994,0.236299846557435,0.997656817234521,0.13935927239766,0.516605367278804,0.495519863897098,0.216984301760294,0.038842970687898,0.185655625234188,0.332604668981386,0.534567263238774,0.0149966461483517,0.0340738784114172,0.171316048280602,0.211293756321198,0.0102405692390408,1.49011957135298,0.114384487447484,0.338902527008261,0.0550585445514489,0.0648652123276899,0.319485797520574
