asv_id	Yawzi_peak_photo - LB_seagrass	dawn (Yawzi - LB_seagrass)	dawn (Tektite - LB_seagrass)	peak_photo (Yawzi - LB_seagrass)	peak_photo (Tektite - LB_seagrass)	LB_seagrass (peak_photo - dawn)	dawn (Yawzi - Tektite)	peak_photo (Yawzi - Tektite)	Yawzi (peak_photo - dawn)	Tektite (peak_photo - dawn)	Yawzi_dawn - LB_seagrass_dawn	Tektite_peak_photo - LB_seagrass	Tektite_dawn - LB_seagrass_dawn	Yawzi_dawn - LB_seagrass	Tektite_dawn - LB_seagrass	Tektite_peak_photo - LB_seagrass_peak_photo	Yawzi_peak_photo - LB_seagrass_peak_photo	test_type	taxonomy	Domain	Phylum	Class	Order	Family	Genus	Species
ASV_00239												deseq						deseq	Alphaproteobacteria;AEGEAN-169 marine group	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group		
ASV_00240		corncob		corncob									deseq					all	Bdellovibrionia;OM27 clade	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27 clade	
ASV_00243		corncob	corncob	corncob														corncob	Bacteroidia;Winogradskyella	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Winogradskyella	
ASV_00246													deseq					deseq	Bacteroidia;NS11-12 marine group	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12 marine group		
ASV_00251		corncob	corncob	corncob														corncob	Gammaproteobacteria;Alteromonadaceae	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae		
ASV_00252		corncob																corncob	Bacteroidia;Flavobacteriaceae	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae		
ASV_00253											deseq							deseq	Alphaproteobacteria;SAR11 Clade II	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II		
ASV_00255			corncob	corncob				corncob										corncob	Verrucomicrobiae;MB11C04 marine group	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	MB11C04 marine group	
ASV_00258	deseq							corncob	corncob									all	Alphaproteobacteria;SAR11 Clade II	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II		
ASV_00259				corncob														corncob	Alphaproteobacteria;Defluviicoccales	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales			
ASV_00260		corncob	corncob	corncob	corncob													corncob	Bacteroidia;Flavobacteriales	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales			
ASV_00271		corncob	corncob	corncob	corncob													corncob	Gammaproteobacteria;Luminiphilus	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	Luminiphilus	
ASV_00274		corncob	corncob	corncob														corncob	Gammaproteobacteria;Pseudomonadales	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales			
ASV_00277			corncob					corncob					deseq		deseq			all	Planctomycetes;Rubripirellula	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rubripirellula	
ASV_00279	deseq	corncob	corncob				corncob											all	Bacteroidia;NS5 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	
ASV_00282		corncob	corncob	corncob	corncob													corncob	Desulfobulbia;Desulfocapsaceae	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae		
ASV_00283		corncob																corncob	Gammaproteobacteria;Photobacterium	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Photobacterium	
ASV_00289													deseq					deseq	Bacteroidia;NS5 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	
ASV_00290								corncob										corncob	Planctomycetota;OM190	Bacteria	Planctomycetota	OM190				
ASV_00295													deseq		deseq			deseq	Bacteroidia;NS5 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	
ASV_00298												deseq						deseq	Alphaproteobacteria;SAR11 Clade IV	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade IV		
ASV_00300		corncob		corncob														corncob	Actinobacteria;Candidatus Aquiluna	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Candidatus Aquiluna	
ASV_00307		corncob					corncob											corncob	Gammaproteobacteria;OM43 clade	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	OM43 clade	
ASV_00313									corncob				deseq					all	Planctomycetes;Pirellulaceae	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae		
ASV_00319													deseq		deseq			deseq	Planctomycetota;OM190	Bacteria	Planctomycetota	OM190				
ASV_00321		corncob	corncob	corncob	corncob													corncob	Bacteroidia;Aureicoccus	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aureicoccus	marinus
ASV_00322											deseq			deseq				deseq	Gammaproteobacteria;Vibrio	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	
ASV_00326	deseq																deseq	deseq	Alphaproteobacteria;SAR11 Clade Ib	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ib	
ASV_00329				corncob														corncob	Thermoplasmata;Marine Group II	Archaea	Thermoplasmatota	Thermoplasmata	Marine Group II			
