pair1	pair2	t	p.value	q05	q10
LB_seagrass.dawn	Tektite.dawn	1.410729900731863	0.35047157624317404	0.038437426732744515	0.08060249008629866
LB_seagrass.dawn	Yawzi.dawn	1.3919565845137858	0.9346937030977291	0.03600980057772888	0.07799014719540663
LB_seagrass.dawn	LB_seagrass.peak_photo	-4.270729785116687	0.33086524656541577	0.006995037633560189	0.01625986349311405
LB_seagrass.dawn	Tektite.peak_photo	0.1371440000805118	0.223616841993109	0.06764305421684788	0.12108330080548296
LB_seagrass.dawn	Yawzi.peak_photo	4.945466223049942	0.29270111989184777	0.007400706967479185	0.016070732401727048
Tektite.dawn	Yawzi.dawn	0.005695842649296688	0.839836344964006	0.08003867193987341	0.12957531235461808
Tektite.dawn	LB_seagrass.peak_photo	-5.354195172264482	0.003468632859539734	0.0028802207135226778	0.007361411415653517
Tektite.dawn	Tektite.peak_photo	-1.1664929630114398	0.10825918863800592	0.06418032801770286	0.10662423725727527
Tektite.dawn	Yawzi.peak_photo	3.175916699095165	0.5066173254381472	0.04106865830216587	0.0652039725725688
Yawzi.dawn	LB_seagrass.peak_photo	-5.3017681226337325	0.2323030584385029	0.002996466918869904	0.007745068869980831
Yawzi.dawn	Tektite.peak_photo	-1.1544477707125376	0.9499629255549279	0.06356389315591306	0.10868992171386391
Yawzi.dawn	Yawzi.peak_photo	3.087296628633114	0.04705168709765499	0.03972699756554171	0.06731032088604265
LB_seagrass.peak_photo	Tektite.peak_photo	4.172437572585132	0.23875415632026606	0.005380331140579413	0.013791105906665966
LB_seagrass.peak_photo	Yawzi.peak_photo	8.28810612550925	0.015918016044730594	7.15856694269124e-4	0.001808310416827657
Tektite.peak_photo	Yawzi.peak_photo	4.238559559552788	0.3856440072363373	0.021228530095479745	0.03629328741429633
