metab_deriv_label	dispersion	sample_id	sample_type	sampling_date	sampling_time	sampling_day	site	potential_outlier	not_outlier
CINAR_BC_60	0.31820771561768096	Metab_278	seawater	20210124	dawn	Day3	Tektite	NA	60
CINAR_BC_107	0.32693746639102955	Metab_303	seawater	20210126	dawn	Day5	Yawzi	NA	107
CINAR_BC_55	0.32267579683964476	Metab_295	seawater	20210124	dawn	Day3	Yawzi	NA	55
CINAR_BC_56	0.43608178656602836	Metab_290	seawater	20210124	dawn	Day3	Tektite	NA	56
CINAR_BC_91	0.3235823859586555	Metab_276	seawater	20210125	peak_photo	Day4	Yawzi	NA	91
CINAR_BC_78	0.3077552462854262	Metab_225	seawater	20210123	dawn	Day2	Yawzi	NA	78
CINAR_BC_82	0.3206063718081691	Metab_331	seawater	20210125	dawn	Day4	Yawzi	NA	82
CINAR_BC_114	0.33506999153629313	Metab_317	seawater	20210126	peak_photo	Day5	Yawzi	NA	114
CINAR_BC_40	0.31410611199761324	Metab_228	seawater	20210123	dawn	Day2	Yawzi	NA	40
CINAR_BC_46	0.4248078969942379	Metab_230	seawater	20210123	peak_photo	Day2	Yawzi	NA	46
CINAR_BC_44	0.3489462016276199	Metab_227	seawater	20210123	peak_photo	Day2	Tektite	44	NA
CINAR_BC_80	0.3163206337358536	Metab_313	seawater	20210125	dawn	Day4	Yawzi	NA	80
CINAR_BC_81A	0.3501897050442639	Metab_319	seawater	20210125	dawn	Day4	Tektite	NA	81A
CINAR_BC_53	0.3335815336058171	Metab_284	seawater	20210124	dawn	Day3	Yawzi	NA	53
CINAR_BC_76	0.3666374026433971	Metab_222	seawater	20210123	dawn	Day2	Yawzi	NA	76
