asv_id	dawn (Tektite - LB_seagrass)	dawn (Yawzi - LB_seagrass)	peak_photo (Tektite - LB_seagrass)	peak_photo (Yawzi - LB_seagrass)	peak_photo (Yawzi - Tektite)	dawn (Yawzi - Tektite)	LB_seagrass (peak_photo - dawn)	Yawzi (peak_photo - dawn)	Tektite (peak_photo - dawn)	test_type	Domain	Phylum	Class	Order	Family	Genus	Species
ASV_00064	deseq_corncob	deseq_corncob	deseq					corncob		all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Stappiaceae	Stappiaceae	Stappiaceae
ASV_00065	deseq	corncob	deseq	corncob						corncob	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	OM60(NOR5) clade	OM60(NOR5) clade
ASV_00066	deseq_corncob	deseq_corncob	deseq	deseq				deseq		all	Bacteria	Cyanobacteria	Cyanobacteria	Synechococcales	Cyanobiaceae	Cyanobium PCC-6307	Cyanobium PCC-6307
ASV_00067	deseq	deseq	deseq	deseq_corncob	corncob					all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	Clade Ia
ASV_00068	deseq_corncob	deseq_corncob	deseq	deseq_corncob	corncob					all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	Clade Ia
ASV_00069	deseq	deseq_corncob	deseq	deseq_corncob		deseq				all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorphaceae	Cryomorphaceae
ASV_00070	deseq	deseq_corncob	deseq_corncob	deseq_corncob						all	Bacteria	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)
ASV_00071	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob		deseq_corncob		deseq		all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NS9 marine group	NS9 marine group
ASV_00072	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob		deseq_corncob	deseq	deseq_corncob		all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	SAR11 clade	Clade IV	Clade IV	Clade IV
ASV_00073	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob	corncob	deseq		deseq		all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4 marine group	NS4 marine group
ASV_00074	deseq_corncob	deseq_corncob	deseq	deseq_corncob	corncob	deseq_corncob		deseq_corncob		all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorphaceae	Cryomorphaceae
ASV_00075	deseq	deseq_corncob			corncob	corncob				all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS2b marine group	NS2b marine group
ASV_00077	deseq	deseq	deseq	deseq_corncob	corncob			deseq		all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116 clade	SAR116 clade	SAR116 clade
ASV_00082	deseq	deseq	deseq	deseq	corncob			corncob		corncob	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade	SAR86 clade
ASV_00083	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob	corncob	deseq_corncob		deseq	corncob	all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ib	Clade Ib
ASV_00084	deseq	deseq	deseq_corncob	deseq						all	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Marinoscillum	Marinoscillum
ASV_00085	deseq	deseq	deseq	deseq_corncob	corncob	corncob		deseq_corncob		all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ib	Clade Ib
ASV_00086	deseq_corncob	deseq_corncob		corncob			deseq			all	Archaea	Thermoplasmatota	Thermoplasmata	Marine Group II	Marine Group II	Marine Group II	Marine Group II
ASV_00087	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob		corncob				all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Stappiaceae	Stappiaceae	Stappiaceae
ASV_00088	deseq_corncob	corncob		corncob	corncob		deseq			all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116 clade	SAR116 clade	SAR116 clade
ASV_00089	deseq	deseq	deseq	deseq						deseq	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorphaceae	Cryomorphaceae
ASV_00091	deseq	deseq	deseq	deseq						deseq	Bacteria	Cyanobacteria	Cyanobacteria	Synechococcales	Cyanobiaceae	Prochlorococcus MIT9313	Prochlorococcus MIT9313
ASV_00093	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob						all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccales	Defluviicoccales	Defluviicoccales
ASV_00094	deseq	deseq	deseq	deseq_corncob	corncob					all	Bacteria	Cyanobacteria	Cyanobacteria	Synechococcales	Cyanobiaceae	Cyanobiaceae	Cyanobiaceae
ASV_00095	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob	corncob	deseq		deseq_corncob		all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae	Flavobacteriaceae
ASV_00096	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob		corncob				all	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	KI89A clade	KI89A clade	KI89A clade
ASV_00097	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob	corncob	corncob	deseq	deseq		all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum	Tenacibaculum
ASV_00098	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob			deseq			all	Archaea	Thermoplasmatota	Thermoplasmata	Marine Group II	Marine Group II	Marine Group II	Marine Group II
ASV_00100	deseq	deseq	deseq	deseq_corncob	corncob			deseq_corncob		all	Bacteria	Actinobacteriota	Acidimicrobia	Actinomarinales	Actinomarinaceae	Candidatus Actinomarina	Candidatus Actinomarina
ASV_00101	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob		deseq_corncob		deseq_corncob		all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	NS5 marine group
ASV_00102	deseq	deseq		corncob	corncob	corncob				corncob	Bacteria	Alphaproteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	Clade Ia
ASV_00103	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob						all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Parvibaculales	PS1 clade	PS1 clade	PS1 clade
ASV_00104	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob	corncob					all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NS9 marine group	NS9 marine group
ASV_00105	deseq_corncob	deseq_corncob	deseq	deseq_corncob				deseq		all	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	Marinobacterium	Marinobacterium
ASV_00107	deseq	deseq_corncob	deseq_corncob	deseq_corncob	corncob	corncob	corncob	deseq_corncob		all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	NS5 marine group
ASV_00110	deseq	deseq	deseq	deseq_corncob	corncob			corncob		all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II	Clade II
ASV_00111	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob		deseq_corncob		deseq_corncob		all	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadales	Pseudomonadales	Pseudomonadales
ASV_00112	deseq	deseq_corncob	deseq	deseq				deseq		all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorphaceae	Cryomorphaceae
ASV_00113	deseq	deseq	deseq	deseq_corncob	corncob			deseq		all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group	AEGEAN-169 marine group
ASV_00115	deseq_corncob	deseq	deseq							all	Bacteria	Cyanobacteria	Cyanobacteria	Synechococcales	Cyanobiaceae	Synechococcus CC9902	Synechococcus CC9902
ASV_00118	deseq	deseq_corncob		corncob	corncob	corncob				all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS2b marine group	NS2b marine group
ASV_00119	deseq_corncob	deseq_corncob								all	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	SAR92 clade	SAR92 clade
ASV_00120	deseq_corncob	deseq_corncob		corncob	corncob	corncob	deseq			all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Parvibaculales	PS1 clade	PS1 clade	PS1 clade
ASV_00121	deseq	deseq_corncob	deseq	deseq_corncob	corncob					all	Bacteria	Cyanobacteria	Cyanobacteria	Synechococcales	Cyanobiaceae	Synechococcus CC9902	Synechococcus CC9902
ASV_00122	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob		deseq	deseq	deseq_corncob		all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae	Flavobacteriaceae
ASV_00123	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob		deseq_corncob	deseq	deseq		all	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade	SAR86 clade
ASV_00124	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob		deseq_corncob		deseq_corncob		all	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12 marine group	NS11-12 marine group	NS11-12 marine group
ASV_00125	deseq_corncob	deseq_corncob	deseq	corncob	corncob					all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	SAR11 clade	Clade III	Clade III	Clade III
ASV_00126	deseq	deseq	deseq	deseq		corncob				corncob	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade	SAR86 clade
ASV_00128	deseq_corncob	deseq_corncob	deseq	deseq_corncob				deseq	corncob	all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group	AEGEAN-169 marine group
ASV_00129	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob	corncob	deseq_corncob	deseq	deseq_corncob		all	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	Ectothiorhodospiraceae	Ectothiorhodospiraceae
ASV_00130	deseq_corncob	deseq_corncob	deseq	deseq_corncob						all	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	OM182 clade	OM182 clade	OM182 clade
ASV_00131	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob						all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Thalassobius	Thalassobius
ASV_00136	deseq	deseq	deseq	deseq_corncob	corncob			corncob		all	Bacteria	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)
ASV_00138	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob						all	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Spongiibacteraceae	BD1-7 clade	BD1-7 clade
ASV_00140	deseq			deseq_corncob		deseq_corncob				all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NS9 marine group	NS9 marine group
ASV_00141	deseq_corncob	deseq_corncob	deseq	deseq_corncob		deseq		deseq		all	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade	SAR86 clade
ASV_00143	deseq			corncob	corncob			corncob		corncob	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4 marine group	NS4 marine group
ASV_00145	deseq_corncob	deseq_corncob	deseq	deseq_corncob	corncob					all	Bacteria	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)
ASV_00147	deseq	deseq_corncob								all	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	natriegens
ASV_00150	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob				deseq		all	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	MB11C04 marine group	MB11C04 marine group
ASV_00151	deseq	deseq	deseq		corncob			corncob		corncob	Bacteria	Cyanobacteria	Cyanobacteria	Synechococcales	Cyanobiaceae	Cyanobium PCC-6307	Cyanobium PCC-6307
ASV_00153	deseq_corncob	deseq_corncob	deseq	deseq_corncob	corncob					all	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudohongiellaceae	Pseudohongiella	Pseudohongiella
ASV_00154	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob		corncob				all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	NS5 marine group
ASV_00155	deseq_corncob	deseq_corncob	deseq	deseq			deseq			all	Bacteria	SAR324 clade(Marine group B)	SAR324 clade(Marine group B)	SAR324 clade(Marine group B)	SAR324 clade(Marine group B)	SAR324 clade(Marine group B)	SAR324 clade(Marine group B)
ASV_00158	deseq	deseq_corncob	deseq_corncob	deseq		corncob				all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NS9 marine group	NS9 marine group
ASV_00159	deseq	deseq	deseq	deseq						deseq	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade	SAR86 clade
ASV_00161	deseq_corncob	corncob	deseq	deseq_corncob	corncob	corncob		deseq		all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	S25-593	S25-593
ASV_00163	deseq	deseq		corncob	corncob			corncob		corncob	Bacteria	Alphaproteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II	Clade II
ASV_00164	deseq	deseq_corncob	deseq	deseq						all	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagales	Chitinophagales	Chitinophagales
ASV_00165	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob						all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4 marine group	NS4 marine group
ASV_00167	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob		corncob				all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	S25-593	S25-593
ASV_00171	deseq									deseq	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116 clade	Candidatus Puniceispirillum	Candidatus Puniceispirillum
ASV_00172	deseq	deseq	deseq	deseq						deseq	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group	AEGEAN-169 marine group
ASV_00175	deseq	deseq								deseq	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116 clade	SAR116 clade	SAR116 clade
ASV_00176	deseq	deseq	deseq	deseq						deseq	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NS9 marine group	NS9 marine group
ASV_00177	deseq_corncob		deseq			deseq				all	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Enterobacterales	Pseudoalteromonadaceae	Pseudoalteromonas	luteoviolacea
ASV_00178	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob				deseq_corncob		all	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade	SAR86 clade
ASV_00180	deseq_corncob	deseq		deseq_corncob	corncob					all	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade	SAR86 clade
ASV_00182	deseq_corncob	deseq_corncob	deseq							all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NS9 marine group	NS9 marine group
ASV_00185	deseq_corncob	deseq_corncob	deseq	deseq_corncob	corncob	corncob				all	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	MB11C04 marine group	MB11C04 marine group
ASV_00187	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob		deseq_corncob				all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorphaceae	Cryomorphaceae
ASV_00190	deseq									deseq	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorphaceae	Cryomorphaceae
ASV_00191	deseq		deseq							deseq	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Alphaproteobacteria	Alphaproteobacteria	Alphaproteobacteria	Alphaproteobacteria
ASV_00192	deseq	deseq_corncob	deseq_corncob	deseq_corncob						all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NS9 marine group	NS9 marine group
ASV_00196	deseq	deseq	deseq	deseq	corncob					corncob	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade	SAR86 clade
ASV_00197	deseq	deseq	deseq	deseq						deseq	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade	SAR86 clade
ASV_00199	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob		corncob				all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NS9 marine group	NS9 marine group
ASV_00200	deseq	deseq	deseq	deseq						deseq	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae	Rhodobacteraceae
ASV_00202	deseq	deseq	deseq_corncob							all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4 marine group	NS4 marine group
ASV_00205	deseq	deseq								deseq	Bacteria	Alphaproteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II	Clade II
ASV_00206	deseq	deseq	deseq	deseq		deseq				deseq	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade	SAR86 clade
ASV_00210	deseq_corncob	deseq_corncob	deseq_corncob	deseq			deseq	deseq		all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116 clade	SAR116 clade	SAR116 clade
ASV_00215	deseq_corncob	deseq_corncob	deseq	deseq						all	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Saprospiraceae	Saprospiraceae
ASV_00216	deseq_corncob	deseq_corncob	deseq	deseq	corncob	corncob		deseq		all	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade	SAR86 clade
ASV_00217	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob		corncob				all	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	Coxiella
ASV_00221	deseq	deseq_corncob	deseq	deseq						all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae	Rhodobacteraceae
ASV_00222	deseq_corncob	deseq_corncob	deseq	deseq_corncob	corncob	corncob				all	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Saprospiraceae	Saprospiraceae
ASV_00223	deseq	deseq	deseq	deseq						deseq	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group	AEGEAN-169 marine group
ASV_00224	deseq		deseq	deseq						deseq	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	HIMB11	HIMB11
ASV_00226	deseq	deseq	deseq	deseq		deseq				deseq	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	SAR92 clade	SAR92 clade
ASV_00227	deseq_corncob	deseq_corncob	deseq_corncob	deseq						all	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Photobacterium	damselae
ASV_00228	deseq	deseq	deseq_corncob	deseq		corncob				all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS2b marine group	NS2b marine group
ASV_00229	deseq	corncob	deseq	deseq_corncob	corncob	corncob		deseq		all	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Cyclobacteriaceae	Cyclobacteriaceae
ASV_00232	deseq									deseq	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Stappiaceae	Stappiaceae	Stappiaceae
ASV_00233	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob						all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116 clade	SAR116 clade	SAR116 clade
ASV_00235	deseq	deseq	deseq_corncob	deseq						all	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade	SAR86 clade
ASV_00236	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob						all	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thiotrichaceae	Thiotrichaceae
ASV_00239	deseq		deseq							deseq	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group	AEGEAN-169 marine group
ASV_00240	deseq	deseq_corncob	deseq	corncob		deseq				all	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27 clade	OM27 clade
ASV_00241	deseq	deseq	deseq	deseq						deseq	Bacteria	Alphaproteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II	Clade II
ASV_00243	deseq_corncob	deseq_corncob	deseq	deseq_corncob						all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Winogradskyella	Winogradskyella
ASV_00246	deseq	deseq								deseq	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12 marine group	NS11-12 marine group	NS11-12 marine group
ASV_00251	deseq_corncob	deseq_corncob	deseq	deseq_corncob						all	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Alteromonadaceae	Alteromonadaceae
ASV_00252	deseq	deseq_corncob	deseq	deseq						all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae	Flavobacteriaceae
ASV_00253	deseq	deseq	deseq	deseq						deseq	Bacteria	Alphaproteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II	Clade II
ASV_00255	deseq_corncob	deseq	deseq	deseq_corncob	corncob					all	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	MB11C04 marine group	MB11C04 marine group
ASV_00258	deseq	deseq	deseq	deseq	corncob			corncob		corncob	Bacteria	Alphaproteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II	Clade II
ASV_00259	deseq	deseq	deseq	deseq_corncob				deseq		all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccales	Defluviicoccales	Defluviicoccales
ASV_00260	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob						all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriales	Flavobacteriales	Flavobacteriales
ASV_00261	deseq	deseq								deseq	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4 marine group	NS4 marine group
ASV_00269	deseq			deseq	deseq	deseq	deseq			deseq	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacterales	Enterobacterales	Enterobacterales
ASV_00271	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob				deseq		all	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	Luminiphilus	Luminiphilus
ASV_00274	deseq_corncob	deseq_corncob	deseq	deseq_corncob						all	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadales	Pseudomonadales	Pseudomonadales
ASV_00277	deseq_corncob	deseq			corncob	deseq				all	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rubripirellula	Rubripirellula
ASV_00278	deseq	deseq	deseq	deseq						deseq	Bacteria	Alphaproteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	Clade Ia
ASV_00279	deseq_corncob	deseq_corncob	deseq			corncob				all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	NS5 marine group
ASV_00280	deseq		deseq	deseq		deseq		deseq		deseq	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade	SAR86 clade
ASV_00282	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob						all	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Desulfocapsaceae	Desulfocapsaceae
ASV_00283	deseq	deseq_corncob	deseq	deseq			deseq			all	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Photobacterium	Photobacterium
ASV_00289	deseq					deseq				deseq	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	NS5 marine group
ASV_00294	deseq	deseq								deseq	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	Balneola	Balneola
ASV_00295	deseq									deseq	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	NS5 marine group
ASV_00300	deseq	deseq_corncob	deseq	deseq_corncob						all	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Candidatus Aquiluna	Candidatus Aquiluna
ASV_00303	deseq	deseq								deseq	Archaea	Thermoplasmatota	Thermoplasmata	Marine Group II	Marine Group II	Marine Group II	Marine Group II
ASV_00313	deseq			deseq		deseq		deseq_corncob		all	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellulaceae	Pirellulaceae
ASV_00316	deseq	deseq	deseq	deseq						deseq	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae	Flavobacteriaceae
ASV_00317	deseq	deseq					deseq			deseq	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	DEV007	DEV007
ASV_00319	deseq	deseq								deseq	Bacteria	Planctomycetota	OM190	OM190	OM190	OM190	OM190
ASV_00320	deseq									deseq	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS7 marine group	NS7 marine group	NS7 marine group
ASV_00321	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob						all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aureicoccus	marinus
ASV_00324	deseq									deseq	Bacteria	Alphaproteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II	Clade II
