label	NMDS1	NMDS2	type	sample_type	sampling_date	sampling_time	sampling_day	site	replicate	text_label
Metab_323	0.5398042461508968	-0.07006963848072843	sample	seawater	20210126	peak_photo	Day5	Yawzi	3	NA
Metab_324	-0.5228583851482107	-1.2105381103107353	sample	seawater	20210126	dawn	Day5	LB_seagrass	3	NA
Metab_325	0.11465118545168888	0.11167675377814787	sample	seawater	20210125	dawn	Day4	Yawzi	2	NA
Metab_326	0.7160604439508907	-0.5382481938654657	sample	seawater	20210126	peak_photo	Day5	LB_seagrass	1	NA
Metab_327	0.5407865061244244	-0.03534502422525624	sample	seawater	20210126	dawn	Day5	Yawzi	3	NA
Metab_328	-1.6383792381636708	-0.31626541092514815	sample	seawater	20210125	dawn	Day4	LB_seagrass	1	NA
Metab_329	0.2926262848279921	-0.40922194894584835	sample	seawater	20210126	peak_photo	Day5	LB_seagrass	2	NA
Metab_331	0.4007109898529834	-0.07674973102159507	sample	seawater	20210125	dawn	Day4	Yawzi	3	NA
Metab_332	-0.03113904707842351	-0.15660947914105144	sample	seawater	20210126	peak_photo	Day5	LB_seagrass	3	NA
Metab_334	-1.4679674253887014	0.7227940070459437	sample	seawater	20210125	dawn	Day4	LB_seagrass	2	NA
Metab_337	-1.5388849742771922	-0.5225018671767659	sample	seawater	20210125	dawn	Day4	LB_seagrass	3	NA
Metab_219	-1.684934760610281	1.3614838880834377	sample	seawater	20210123	dawn	Day2	LB_seagrass	1	NA
Metab_224	0.5344978134041993	0.35258728436263514	sample	seawater	20210123	peak_photo	Day2	Tektite	1	Metab_224
Metab_231	0.6414843504367226	0.5615825172537015	sample	seawater	20210123	dawn	Day2	Tektite	1	NA
Metab_233	-1.070362182973194	1.4328783168667039	sample	seawater	20210123	peak_photo	Day2	LB_seagrass	3	NA
ASV_00001	0.10631087022031288	0.08832524975147761	species	NA	NA	NA	NA	NA	NA	NA
ASV_00002	0.5577234744901606	0.015038482249181912	species	NA	NA	NA	NA	NA	NA	NA
