Source,Target,Type,Weight,estimate
31,345,Undirected,0.7276032399736438,0.7276032399736438
32,350,Undirected,0.57072233655432,0.57072233655432
32,329,Undirected,0.566765855884966,0.566765855884966
32,330,Undirected,0.6389716281006772,0.6389716281006772
32,331,Undirected,0.5548964138769038,0.5548964138769038
32,339,Undirected,0.5272010491914256,0.5272010491914256
32,333,Undirected,0.5479725727055343,0.5479725727055343
32,335,Undirected,0.5519290533748883,0.5519290533748883
33,334,Undirected,0.6547521808639409,0.6547521808639409
33,333,Undirected,0.5980790645200996,0.5980790645200996
34,351,Undirected,0.8741258741258742,-0.8741258741258742
35,345,Undirected,0.7077478572757802,0.7077478572757802
35,352,Undirected,0.5317043180039092,-0.5317043180039092
35,326,Undirected,0.6234070609452251,-0.6234070609452251
36,336,Undirected,0.5555440092647425,0.5555440092647425
36,340,Undirected,0.5286085421488762,0.5286085421488762
37,327,Undirected,0.5532231346810921,0.5532231346810921
38,336,Undirected,0.5965838668587993,0.5965838668587993
38,331,Undirected,0.5935934715361989,0.5935934715361989
38,344,Undirected,0.5420458868495555,0.5420458868495555
39,330,Undirected,0.5885277798392425,-0.5885277798392425
39,338,Undirected,0.6035831416490836,-0.6035831416490836
39,340,Undirected,0.6959683163912902,-0.6959683163912902
39,342,Undirected,0.5433616944097193,-0.5433616944097193
40,329,Undirected,0.5455893420821943,0.5455893420821943
40,330,Undirected,0.5915493138336835,0.5915493138336835
40,338,Undirected,0.6943415087187347,0.6943415087187347
40,333,Undirected,0.5989622125032786,0.5989622125032786
40,335,Undirected,0.5342228974554819,0.5342228974554819
41,336,Undirected,0.5383140182158954,0.5383140182158954
41,350,Undirected,0.5594078277071138,0.5594078277071138
41,331,Undirected,0.5416890277344903,0.5416890277344903
41,334,Undirected,0.5969052504669469,0.5969052504669469
41,353,Undirected,0.5383140182158954,0.5383140182158954
41,339,Undirected,0.5805016371983324,0.5805016371983324
41,354,Undirected,0.5912294477683705,0.5912294477683705
41,343,Undirected,0.6910917589700821,-0.6910917589700821
41,355,Undirected,0.5805016371983324,0.5805016371983324
41,356,Undirected,0.5594078277071138,0.5594078277071138
41,342,Undirected,0.5594078277071138,0.5594078277071138
42,329,Undirected,0.7025691699604744,0.7025691699604744
42,330,Undirected,0.6245059288537549,0.6245059288537549
42,338,Undirected,0.6403162055335968,0.6403162055335968
42,357,Undirected,0.9428571428571428,-0.9428571428571428
42,345,Undirected,0.7392857142857142,-0.7392857142857142
42,333,Undirected,0.5701581027667985,0.5701581027667985
42,352,Undirected,0.6077075098814229,0.6077075098814229
43,346,Undirected,0.541501976284585,0.541501976284585
43,329,Undirected,0.6146245059288538,0.6146245059288538
43,330,Undirected,0.6175889328063241,0.6175889328063241
43,333,Undirected,0.5513833992094862,0.5513833992094862
44,329,Undirected,0.6552104391150534,0.6552104391150534
