hold	variable	contrast	num_SDA	mean_relabund_min	mean_relabund_median	mean_relabund_mean	mean_relabund_max
temporal	spatial	dawn (Tektite - LB_seagrass)	122	1.931695255756452e-4	0.14718962681729514	0.48225474046336425	7.184661364800473
temporal	spatial	dawn (Yawzi - LB_seagrass)	140	1.5119557904126886e-4	0.12640812977275695	0.42649101748880897	7.14609851738034
temporal	spatial	afternoon (Tektite - LB_seagrass)	95	4.55787030254492e-4	0.20299490049590113	0.6130109456993647	7.6485074540674916
temporal	spatial	afternoon (Yawzi - LB_seagrass)	119	1.3992227317725003e-4	0.15646203247405432	0.4980230714483512	7.6485074540674916
temporal	spatial	afternoon (Yawzi - Tektite)	2	0.7195588590192695	0.950672417294535	1.0222250184327302	1.4679963801225815
temporal	spatial	dawn (Yawzi - Tektite)	27	0.005298412794945239	0.2790579504015871	0.664993161399996	3.7534284717954587
spatial	temporal	LB_seagrass (afternoon - dawn)	5	0.2360118467623704	0.8120712817797993	1.0827783414808116	3.304662992416607
spatial	temporal	Yawzi (afternoon - dawn)	30	0.0016039095142590584	0.2587084349803465	0.4470070069054631	2.4147039450810723
spatial	temporal	Tektite (afternoon - dawn)	0				
