Source,Target,Type,Weight,estimate,padj_01
1,167,Undirected,0.7515580963521804,0.7515580963521804,0.007653342006891027
2,168,Undirected,0.7545454545454546,-0.7545454545454546,0.007282041008429129
3,168,Undirected,0.7636363636363637,-0.7636363636363637,0.006233059747904751
4,169,Undirected,0.8727272727272727,-0.8727272727272727,4.5461505140964175e-4
4,170,Undirected,0.8545454545454546,-0.8545454545454546,8.066741521649004e-4
4,171,Undirected,0.8636363636363636,-0.8636363636363636,6.116938500931739e-4
5,172,Undirected,0.8079610032674739,-0.8079610032674739,0.0026228622219802732
5,173,Undirected,0.8971836907448637,-0.8971836907448637,1.8051009741258653e-4
6,174,Undirected,0.8066439653301319,-0.8066439653301319,0.0048074439148866
6,175,Undirected,0.7443873683187767,-0.7443873683187767,0.008600891780853694
7,171,Undirected,0.753235445504018,0.753235445504018,0.007443201063435472
8,169,Undirected,0.7980473713255417,0.7980473713255417,0.0032396359890398906
8,170,Undirected,0.7980473713255417,0.7980473713255417,0.0032396359890398906
8,171,Undirected,0.8773564268609992,0.8773564268609992,3.8748518202946097e-4
9,176,Undirected,0.8377018990932704,0.8377018990932704,0.0012874413351134915
9,169,Undirected,0.8674427949190671,0.8674427949190671,5.416228626821755e-4
9,172,Undirected,0.7484792116158807,0.7484792116158807,0.0080503107949131
9,170,Undirected,0.8773564268609992,0.8773564268609992,3.8748518202946097e-4
9,171,Undirected,0.8971836907448637,0.8971836907448637,1.8051009741258732e-4
9,167,Undirected,0.7583928435578129,0.7583928435578129,0.006823483426977318
10,174,Undirected,0.812776759390954,0.812776759390954,0.004259472986524341
11,169,Undirected,0.7581047672567904,0.7581047672567904,0.006857065003604951
11,170,Undirected,0.78969246589249,0.78969246589249,0.0038379188163827223
11,174,Undirected,0.8466580400786595,0.8466580400786595,0.0020016323698102286
11,171,Undirected,0.8633970960424556,0.8633970960424556,6.163160723566299e-4
11,177,Undirected,0.7581047672567904,0.7581047672567904,0.006857065003604951
12,168,Undirected,0.8327833683066314,0.8327833683066314,0.0014615612166467644
13,168,Undirected,0.753235445504018,0.753235445504018,0.007443201063435472
14,168,Undirected,0.8564942494470258,0.8564942494470258,7.614084643335128e-4
15,167,Undirected,0.7746829608553244,0.7746829608553244,0.005112945458591254
16,178,Undirected,0.78969246589249,-0.78969246589249,0.003837918816382701
16,172,Undirected,0.8633970960424556,-0.8633970960424556,6.163160723566322e-4
16,179,Undirected,0.8212801645281895,-0.8212801645281895,0.0019372851843300098
16,170,Undirected,0.7475755343782238,-0.7475755343782238,0.008169625019664957
16,180,Undirected,0.7686340001353569,-0.7686340001353569,0.005706079427219681
17,176,Undirected,0.8090909090909091,0.8090909090909091,0.002558580199713915
17,169,Undirected,0.7727272727272727,0.7727272727272727,0.005299487178643858
18,172,Undirected,0.8090909090909091,0.8090909090909091,0.002558580199713915
19,169,Undirected,0.7454545454545454,0.7454545454545454,0.008454728885061592
19,172,Undirected,0.9090909090909091,0.9090909090909091,1.0559337630360888e-4
19,170,Undirected,0.7545454545454546,0.7545454545454546,0.007282041008429129
19,167,Undirected,0.7454545454545454,0.7454545454545454,0.008454728885061592
20,168,Undirected,0.7890240316738918,0.7890240316738918,0.003889078513069645
21,169,Undirected,0.7723046972889297,0.7723046972889297,0.0053404434409842945
21,172,Undirected,0.8390470785361213,0.8390470785361213,0.0012426582241989647
21,170,Undirected,0.753235445504018,0.753235445504018,0.007443201063435472
22,181,Undirected,0.7475755343782238,0.7475755343782238,0.008169625019664957
23,178,Undirected,0.8090909090909091,0.8090909090909091,0.002558580199713915
23,169,Undirected,0.8545454545454546,0.8545454545454546,8.066741521648989e-4
23,179,Undirected,0.7818181818181817,0.7818181818181817,0.004473162252783056
23,170,Undirected,0.8545454545454546,0.8545454545454546,8.066741521648989e-4
23,182,Undirected,0.7818181818181817,0.7818181818181817,0.004473162252783056
23,171,Undirected,0.8,0.8,0.003110428310385851
23,177,Undirected,0.7454545454545454,0.7454545454545454,0.008454728885061592
23,167,Undirected,0.890909090909091,0.890909090909091,2.3345817037873244e-4
24,183,Undirected,0.8,0.8,0.003110428310385851
24,176,Undirected,0.7818181818181817,0.7818181818181817,0.004473162252783056
24,178,Undirected,0.7909090909090909,0.7909090909090909,0.003746082953397416
24,169,Undirected,0.8454545454545456,0.8454545454545456,0.001045182145858685
24,179,Undirected,0.7909090909090909,0.7909090909090909,0.003746082953397416
24,170,Undirected,0.9181818181818181,0.9181818181818181,6.66145194135566e-5
24,182,Undirected,0.8090909090909091,0.8090909090909091,0.002558580199713915
24,174,Undirected,0.7818181818181817,0.7818181818181817,0.007547007781067878
24,184,Undirected,0.7818181818181817,0.7818181818181817,0.004473162252783056
24,175,Undirected,0.7454545454545454,0.7454545454545454,0.008454728885061592
24,171,Undirected,0.8727272727272727,0.8727272727272727,4.546150514096433e-4
24,177,Undirected,0.8636363636363636,0.8636363636363636,0.00061169385009317105
24,167,Undirected,0.8454545454545456,0.8454545454545456,0.001045182145858685
24,185,Undirected,0.7545454545454546,0.7545454545454546,0.007282041008429129
24,186,Undirected,0.7454545454545454,0.7454545454545454,0.008454728885061592
25,176,Undirected,0.8073734277593312,0.8073734277593312,0.0026567613158668
26,172,Undirected,0.752325239503013,0.752325239503013,0.007556702096497215
26,170,Undirected,0.752325239503013,0.752325239503013,0.007556702096497215
26,173,Undirected,0.752325239503013,0.752325239503013,0.007556702096497215
27,172,Undirected,0.8181818181818182,0.8181818181818182,0.0020831448404786904
28,169,Undirected,0.7913739490738417,0.7913739490738417,0.003711426820478125
28,172,Undirected,0.8867202079984009,0.8867202079984009,2.7487128523382543e-4
