label	NMDS1	NMDS2	type	sample_type	sampling_date	sampling_time	sampling_day	site	replicate	text_label
Metab_323	0.13029144534902423	0.055061020173680225	sample	seawater	20210126	peak_photo	Day5	Yawzi	3	NA
Metab_324	-0.2274895447781212	0.14069313343393455	sample	seawater	20210126	dawn	Day5	LB_seagrass	3	NA
Metab_325	-0.010450618473842595	0.021470488374235947	sample	seawater	20210125	dawn	Day4	Yawzi	2	NA
Metab_326	0.10111535347727398	0.17297608905675968	sample	seawater	20210126	peak_photo	Day5	LB_seagrass	1	NA
Metab_327	0.1498346108560504	0.040307343172590625	sample	seawater	20210126	dawn	Day5	Yawzi	3	NA
Metab_328	-0.4209357514068941	0.0665385953622295	sample	seawater	20210125	dawn	Day4	LB_seagrass	1	NA
Metab_329	0.01516812269368619	0.10460685665036722	sample	seawater	20210126	peak_photo	Day5	LB_seagrass	2	NA
Metab_331	0.11371051201469527	0.031219040936151368	sample	seawater	20210125	dawn	Day4	Yawzi	3	NA
Metab_332	-0.08011373110817643	0.07802452721424218	sample	seawater	20210126	peak_photo	Day5	LB_seagrass	3	NA
Metab_334	-0.4172631599413119	0.05181839359029225	sample	seawater	20210125	dawn	Day4	LB_seagrass	2	NA
Metab_337	-0.4088398711957773	0.010806630846595167	sample	seawater	20210125	dawn	Day4	LB_seagrass	3	NA
Metab_219	-0.5193705518639112	-0.32827907448331317	sample	seawater	20210123	dawn	Day2	LB_seagrass	1	NA
Metab_224	0.1672473719278103	-0.246364386631438	sample	seawater	20210123	peak_photo	Day2	Tektite	1	Metab_224
Metab_231	0.1694668401872448	-0.19167862716399578	sample	seawater	20210123	dawn	Day2	Tektite	1	NA
Metab_233	-0.4089570282736339	-0.07610085240088839	sample	seawater	20210123	peak_photo	Day2	LB_seagrass	3	NA
ASV_00001	-0.01789660218699791	-0.0026707844723890747	species	NA	NA	NA	NA	NA	NA	NA
ASV_00002	0.17670595156959099	0.014995784362753844	species	NA	NA	NA	NA	NA	NA	NA
ASV_00003	-0.26159874690061036	0.05436816543568597	species	NA	NA	NA	NA	NA	NA	NA
ASV_00004	-0.08290611238332464	-0.0070237019225081595	species	NA	NA	NA	NA	NA	NA	NA
ASV_00005	0.18871463463780724	0.00956734603004603	species	NA	NA	NA	NA	NA	NA	NA
ASV_00006	-0.22586882659014362	0.036068744430483454	species	NA	NA	NA	NA	NA	NA	NA
ASV_00007	0.28842762665209676	0.01726913200572953	species	NA	NA	NA	NA	NA	NA	NA
ASV_00008	0.1488018204905785	0.018769738374284094	species	NA	NA	NA	NA	NA	NA	NA
ASV_00009	-0.23440671251317816	0.025740811096977855	species	NA	NA	NA	NA	NA	NA	NA
ASV_00010	0.2061354467142903	0.004762187685377572	species	NA	NA	NA	NA	NA	NA	NA
ASV_00011	0.15350880793986577	0.011683306156842809	species	NA	NA	NA	NA	NA	NA	NA
ASV_00012	0.1667090442935191	0.005220965847628486	species	NA	NA	NA	NA	NA	NA	NA
ASV_00013	0.12209810680445661	-0.0033891337289133024	species	NA	NA	NA	NA	NA	NA	NA
ASV_00014	0.05499752694106638	-0.012653600430388696	species	NA	NA	NA	NA	NA	NA	NA
ASV_00015	0.12222237934543802	0.038553848750610846	species	NA	NA	NA	NA	NA	NA	NA
ASV_00016	0.15532531179847464	-0.011116786755112492	species	NA	NA	NA	NA	NA	NA	NA
ASV_00017	0.1737644973965184	0.02548051858882403	species	NA	NA	NA	NA	NA	NA	NA
ASV_00018	0.18539969496770559	-0.01116344950950882	species	NA	NA	NA	NA	NA	NA	NA
ASV_00019	-0.06572507195616892	-0.0199621000002354	species	NA	NA	NA	NA	NA	NA	NA
ASV_00020	0.15653938458175995	0.0015199857848918054	species	NA	NA	NA	NA	NA	NA	NA
ASV_00021	0.11848014081849635	0.013073047225327589	species	NA	NA	NA	NA	NA	NA	NA
ASV_00022	-0.16025702642926265	-0.027967742199338463	species	NA	NA	NA	NA	NA	NA	NA
ASV_00023	0.2248087627658163	0.004320172304756607	species	NA	NA	NA	NA	NA	NA	NA
ASV_00024	-0.3235753547336576	0.0715139073459171	species	NA	NA	NA	NA	NA	NA	NA
ASV_00025	-0.19397248002813577	-0.017413029492344655	species	NA	NA	NA	NA	NA	NA	NA
ASV_00026	0.28976767052681857	0.015665392021672855	species	NA	NA	NA	NA	NA	NA	NA
ASV_00027	-0.13805272909234648	-0.0060624040337406895	species	NA	NA	NA	NA	NA	NA	NA
ASV_00028	-0.2689875805072701	-0.3423658032771565	species	NA	NA	NA	NA	NA	NA	NA
