pair1	pair2	t	p.value	boot.p.value	q05	q10	sig
LB_seagrass.dawn	Tektite.dawn	1.410729900731863	0.1607130513925935	0.1607130513925935	0.007335013306376002	0.0173550268878262	NA
LB_seagrass.dawn	Yawzi.dawn	1.3919565845137858	0.16631724741049225	0.16631724741049225	0.037774877320649644	0.07524714307723718	NA
LB_seagrass.dawn	LB_seagrass.peak_photo	-4.270729785116687	4.588234775080819e-5	4.588234775080819e-5	0.06632115433228286	0.12340734628364379	4.588234775080819e-5
LB_seagrass.dawn	Tektite.peak_photo	0.1371440000805118	0.8911338139893007	0.8911338139893007	0.039133410691964333	0.07935604879708519	NA
LB_seagrass.dawn	Yawzi.peak_photo	4.945466223049942	2.9528370445724524e-6	2.9528370445724524e-6	0.008231507238164851	0.016890998615360683	2.9528370445724524e-6
Tektite.dawn	Yawzi.dawn	0.005695842649296688	0.9954641411035552	0.9954641411035552	0.0028193727831721162	0.00702846611595963	NA
Tektite.dawn	LB_seagrass.peak_photo	-5.354195172264482	5.804608174832544e-7	5.804608174832544e-7	0.006430917419835887	0.014925226641908854	5.804608174832544e-7
Tektite.dawn	Tektite.peak_photo	-1.1664929630114398	0.24559083028944448	0.24559083028944448	0.003102684621050536	0.00767612464787173	NA
Tektite.dawn	Yawzi.peak_photo	3.175916699095165	0.001972910880848457	0.001972910880848457	6.430351532236814e-4	0.0017965847851678432	NA
Yawzi.dawn	LB_seagrass.peak_photo	-5.3017681226337325	7.004626017506226e-7	7.004626017506226e-7	0.0638820699193987	0.11230311605698427	7.004626017506226e-7
Yawzi.dawn	Tektite.peak_photo	-1.1544477707125376	0.25045716577728977	0.25045716577728977	0.07852958064502469	0.13012137032729923	NA
Yawzi.dawn	Yawzi.peak_photo	3.087296628633114	0.0026105052767529174	0.0026105052767529174	0.03950379212528483	0.06308118984408499	0.0026105052767529174
LB_seagrass.peak_photo	Tektite.peak_photo	4.172437572585132	6.208078434590813e-5	6.208078434590813e-5	0.06571371069060133	0.11206854197650615	6.208078434590813e-5
LB_seagrass.peak_photo	Yawzi.peak_photo	8.28810612550925	5.8642166250096724e-12	5.8642166250096724e-12	0.0213083284449563	0.03819877426957485	5.8642166250096724e-12
Tektite.peak_photo	Yawzi.peak_photo	4.238559559552788	5.225073845567348e-5	5.225073845567348e-5	0.0389650619192142	0.06505618254643755	5.225073845567348e-5
