transformation	method	stress	tries
counts	horn	0.07573667868367581	20
relabund	horn	0.07573667852759272	20
clr	horn	6.725575609934437e-5	20
relabund_clr	horn	0.07579325707946553	100
counts	chord	0.07063343312440677	100
relabund	chord	0.0707468728388176	100
clr	chord	0.11615471363572455	100
relabund_clr	chord	0.07512902725811728	29
counts	bray	0.08205558434100084	20
relabund	bray	0.07510114991996651	84
counts	hellinger	0.08207894888674216	100
relabund	hellinger	0.08207894888674773	100
