variable	num_corrs	type
ASV_00352	1	asv_id
ASV_00353	4	asv_id
ASV_00354	4	asv_id
ASV_00355	7	asv_id
ASV_00356	2	asv_id
ASV_00357	6	asv_id
ASV_00358	1	asv_id
ASV_00359	3	asv_id
ASV_00360	15	asv_id
ASV_00361	3	asv_id
ASV_00364	1	asv_id
ASV_00365	1	asv_id
ASV_00366	3	asv_id
ASV_00369	3	asv_id
ASV_00372	8	asv_id
ASV_00373	1	asv_id
ASV_00374	2	asv_id
ASV_00376	1	asv_id
ASV_00386	3	asv_id
ASV_00389	2	asv_id
ASV_00390	2	asv_id
ASV_00392	1	asv_id
ASV_00394	1	asv_id
ASV_00398	3	asv_id
ASV_00399	1	asv_id
ASV_00400	2	asv_id
ASV_00408	1	asv_id
ASV_00423	1	asv_id
ASV_00429	1	asv_id
ASV_00430	6	asv_id
ASV_00431	8	asv_id
ASV_00440	7	asv_id
ASV_00442	2	asv_id
ASV_00444	3	asv_id
ASV_00445	4	asv_id
ASV_00448	1	asv_id
ASV_00451	6	asv_id
ASV_00460	4	asv_id
ASV_00462	6	asv_id
ASV_00463	1	asv_id
ASV_00464	2	asv_id
ASV_00465	2	asv_id
ASV_00469	1	asv_id
ASV_00470	1	asv_id
ASV_00472	1	asv_id
ASV_00474	6	asv_id
ASV_00479	1	asv_id
ASV_00482	2	asv_id
ASV_00484	2	asv_id
ASV_00487	2	asv_id
ASV_00492	3	asv_id
ASV_00495	2	asv_id
ASV_00499	1	asv_id
ASV_00501	2	asv_id
ASV_00503	2	asv_id
ASV_00507	6	asv_id
ASV_00512	2	asv_id
ASV_00514	8	asv_id
ASV_00517	1	asv_id
ASV_00525	1	asv_id
ASV_00526	2	asv_id
ASV_00527	4	asv_id
ASV_00528	3	asv_id
ASV_00530	3	asv_id
ASV_00537	4	asv_id
ASV_00542	1	asv_id
ASV_00543	3	asv_id
ASV_00550	1	asv_id
ASV_00554	4	asv_id
ASV_00556	1	asv_id
ASV_00560	2	asv_id
ASV_00562	7	asv_id
ASV_00567	2	asv_id
ASV_00568	6	asv_id
ASV_00570	6	asv_id
ASV_00571	3	asv_id
ASV_00576	1	asv_id
ASV_00590	6	asv_id
ASV_00591	1	asv_id
ASV_00600	4	asv_id
ASV_00608	4	asv_id
ASV_00609	3	asv_id
ASV_00610	1	asv_id
ASV_00611	1	asv_id
ASV_00626	4	asv_id
ASV_00630	1	asv_id
ASV_00634	2	asv_id
ASV_00640	4	asv_id
ASV_00641	5	asv_id
ASV_00644	3	asv_id
ASV_00648	2	asv_id
ASV_00664	3	asv_id
ASV_00665	2	asv_id
ASV_00673	1	asv_id
ASV_00678	1	asv_id
