contrast	asv_id	estimate	pval	group	site	commonid	test_type	model	sampling_time	Combo	baseline	baseMean	padj	log2FoldChange_MMSE	pair1	pair2	hold	variable	p_fdr
Yawzi_dawn - all_peak_photo	ASV_00097	14.327344720610588	1.536171832509959e-4	low_dawn	Yawzi	dawn	rademu	auto_fit	dawn	Yawzi_d	all_peak_photo				Yawzi_dawn	all_peak_photo			
Yawzi_dawn - all_peak_photo	ASV_00105	10.899352152355725	9.61978989556729e-4	low_dawn	Yawzi	dawn	rademu	auto_fit	dawn	Yawzi_d	all_peak_photo				Yawzi_dawn	all_peak_photo			
Tektite_dawn - all_peak_photo	ASV_00111	6.137356068823078	0.0132355067645169	low_dawn	Tektite	dawn	rademu	auto_fit	dawn	Tektite_d	all_peak_photo				Tektite_dawn	all_peak_photo			
Yawzi_dawn - all_peak_photo	ASV_00111	13.662211974541949	2.188135855913746e-4	low_dawn	Yawzi	dawn	rademu	auto_fit	dawn	Yawzi_d	all_peak_photo				Yawzi_dawn	all_peak_photo			
Tektite_dawn - all_peak_photo	ASV_00124	11.793336734412241	5.944309625775025e-4	low_dawn	Tektite	dawn	rademu	auto_fit	dawn	Tektite_d	all_peak_photo				Tektite_dawn	all_peak_photo			
Yawzi_dawn - all_peak_photo	ASV_00124	13.980944327440193	1.8467283860744353e-4	low_dawn	Yawzi	dawn	rademu	auto_fit	dawn	Yawzi_d	all_peak_photo				Yawzi_dawn	all_peak_photo			
Tektite_dawn - all_peak_photo	ASV_00129	13.767434820365127	2.0689164020400072e-4	high_dawn	Tektite	dawn	rademu	auto_fit	dawn	Tektite_d	all_peak_photo				Tektite_dawn	all_peak_photo			
Yawzi_dawn - all_peak_photo	ASV_00129	13.612100513432424	2.2473230266132304e-4	high_dawn	Yawzi	dawn	rademu	auto_fit	dawn	Yawzi_d	all_peak_photo				Yawzi_dawn	all_peak_photo			
Tektite_dawn - all_peak_photo	ASV_00131	8.97424087960837	0.0027381231833457234	low_dawn	Tektite	dawn	rademu	auto_fit	dawn	Tektite_d	all_peak_photo				Tektite_dawn	all_peak_photo			
Yawzi_dawn - all_peak_photo	ASV_00131	12.621259543321964	3.813842645706959e-4	low_dawn	Yawzi	dawn	rademu	auto_fit	dawn	Yawzi_d	all_peak_photo				Yawzi_dawn	all_peak_photo			
Tektite_dawn - all_peak_photo	ASV_00138	9.39357421702304	0.0021774727656074127	high_dawn	Tektite	dawn	rademu	auto_fit	dawn	Tektite_d	all_peak_photo				Tektite_dawn	all_peak_photo			
Yawzi_dawn - all_peak_photo	ASV_00138	9.520376418373166	0.0020320289725700032	high_dawn	Yawzi	dawn	rademu	auto_fit	dawn	Yawzi_d	all_peak_photo				Yawzi_dawn	all_peak_photo			
Tektite_dawn - all_peak_photo	ASV_00150	12.263726458739814	4.6184830331620917e-4	high_dawn	Tektite	dawn	rademu	auto_fit	dawn	Tektite_d	all_peak_photo				Tektite_dawn	all_peak_photo			
Yawzi_dawn - all_peak_photo	ASV_00150	13.651877261738424	2.2002123567931015e-4	high_dawn	Yawzi	dawn	rademu	auto_fit	dawn	Yawzi_d	all_peak_photo				Yawzi_dawn	all_peak_photo			
Tektite_dawn - all_peak_photo	ASV_00171	10.381836863886125	0.0012726102243430697	high_dawn	Tektite	dawn	rademu	auto_fit	dawn	Tektite_d	all_peak_photo				Tektite_dawn	all_peak_photo			
Yawzi_dawn - all_peak_photo	ASV_00171	8.592430251265148	0.0033756321523720862	high_dawn	Yawzi	dawn	rademu	auto_fit	dawn	Yawzi_d	all_peak_photo				Yawzi_dawn	all_peak_photo			
Tektite_dawn - all_peak_photo	ASV_00215	9.775888860986734	0.0017681522118418215	low_dawn	Tektite	dawn	rademu	auto_fit	dawn	Tektite_d	all_peak_photo				Tektite_dawn	all_peak_photo			
Yawzi_dawn - all_peak_photo	ASV_00215	13.633450363581858	2.2219117551498148e-4	low_dawn	Yawzi	dawn	rademu	auto_fit	dawn	Yawzi_d	all_peak_photo				Yawzi_dawn	all_peak_photo			
Tektite_dawn - all_peak_photo	ASV_00227	8.306218150724796	0.003950957391468827	low_dawn	Tektite	dawn	rademu	auto_fit	dawn	Tektite_d	all_peak_photo				Tektite_dawn	all_peak_photo			
Yawzi_dawn - all_peak_photo	ASV_00227	11.355547548455686	7.522294099681667e-4	low_dawn	Yawzi	dawn	rademu	auto_fit	dawn	Yawzi_d	all_peak_photo				Yawzi_dawn	all_peak_photo			
Yawzi_dawn - all_peak_photo	ASV_00243	8.991481678088489	0.0027124098579062524	low_dawn	Yawzi	dawn	rademu	auto_fit	dawn	Yawzi_d	all_peak_photo				Yawzi_dawn	all_peak_photo			
Yawzi_dawn - all_peak_photo	ASV_00251	4.5566689229954465	0.03279079139906216	low_dawn	Yawzi	dawn	rademu	auto_fit	dawn	Yawzi_d	all_peak_photo				Yawzi_dawn	all_peak_photo			
Yawzi_dawn - all_peak_photo	ASV_00282	6.335707453859678	0.011833090815134431	low_dawn	Yawzi	dawn	rademu	auto_fit	dawn	Yawzi_d	all_peak_photo				Yawzi_dawn	all_peak_photo			
Tektite_dawn - all_peak_photo	ASV_01134	9.167773907797827	0.002463140002295135	low_dawn	Tektite	dawn	rademu	auto_fit	dawn	Tektite_d	all_peak_photo				Tektite_dawn	all_peak_photo			
Yawzi_dawn - all_peak_photo	ASV_01134	12.422692112088846	4.2414837155360907e-4	low_dawn	Yawzi	dawn	rademu	auto_fit	dawn	Yawzi_d	all_peak_photo				Yawzi_dawn	all_peak_photo			
Tektite - LB_seagrass_all	ASV_00002	38.8077578634967	4.67665512336111e-10	high_reef	Tektite	reef	rademu	auto_fit	all	Tektite	LB_seagrass_all				Tektite	LB_seagrass_all			
Yawzi - LB_seagrass_all	ASV_00002	37.14513791638764	1.096558176528113e-9	high_reef	Yawzi	reef	rademu	auto_fit	all	Yawzi	LB_seagrass_all				Yawzi	LB_seagrass_all			
Tektite - LB_seagrass_all	ASV_00003	44.84254848713669	2.135319196447035e-11	low_reef	Tektite	reef	rademu	auto_fit	all	Tektite	LB_seagrass_all				Tektite	LB_seagrass_all			
