site	grouping	sampling_time	mean_disp	med_disp	setome
LB_seagrass	all	dawn	0.3034164719026766	0.29846868695428197	metabolome
LB_seagrass	all	peak_photo	0.3031573063712955	0.29962092961691544	metabolome
Yawzi	all	dawn	0.30818564527693887	0.2933856807463373	metabolome
Yawzi	all	peak_photo	0.34552591197086185	0.3436835023167721	metabolome
Tektite	all	dawn	0.34581732947073524	0.3231236554581143	metabolome
Tektite	all	peak_photo	0.33648133646563466	0.3302033801229614	metabolome
LB_seagrass	site	dawn	0.10250468125305243	0.08883943057278611	metabolome
LB_seagrass	site	peak_photo	0.1063921809364767	0.10029816315746906	metabolome
Yawzi	site	dawn	0.16178679815328373	0.1389470847807404	metabolome
Yawzi	site	peak_photo	0.22379230796471236	0.22697365606188616	metabolome
Tektite	site	dawn	0.25377256756985045	0.2225631407415824	metabolome
Tektite	site	peak_photo	0.24266427348012684	0.23514651067185405	metabolome
LB_seagrass	site.time	dawn	0.09312975240334373	0.07855119536840752	metabolome
LB_seagrass	site.time	peak_photo	0.09413032212922298	0.09055083673548041	metabolome
Yawzi	site.time	dawn	0.10283341947793037	0.07715084543820325	metabolome
Yawzi	site.time	peak_photo	0.2190201387646513	0.22272243317356494	metabolome
Tektite	site.time	dawn	0.2041828903591816	0.16637641341515158	metabolome
Tektite	site.time	peak_photo	0.20893963027150989	0.1981202036045459	metabolome
LB_seagrass	all	dawn	0.479742797192616	0.4776506248706144	microbiome
LB_seagrass	all	peak_photo	0.48700924468725926	0.4788712948245282	microbiome
Tektite	all	dawn	0.4784599459135339	0.47503340594473376	microbiome
Tektite	all	peak_photo	0.48030542765325623	0.4761751174192972	microbiome
Yawzi	all	dawn	0.4786360638134333	0.4768071731418054	microbiome
Yawzi	all	peak_photo	0.47530110836256667	0.4741412521427547	microbiome
LB_seagrass	site	dawn	0.21520231964738817	0.2108043722937195	microbiome
LB_seagrass	site	peak_photo	0.23323141858906676	0.21863811369806915	microbiome
Tektite	site	dawn	0.19852165528779267	0.1914446580359701	microbiome
Tektite	site	peak_photo	0.20287612444937703	0.19466069654350432	microbiome
Yawzi	site	dawn	0.2044403930950203	0.20093400800902264	microbiome
Yawzi	site	peak_photo	0.19705621449286415	0.19440470586038727	microbiome
LB_seagrass	site.time	dawn	0.11345005249459972	0.10580534128939727	microbiome
LB_seagrass	site.time	peak_photo	0.194689676282871	0.1787301533604457	microbiome
Tektite	site.time	dawn	0.10236125814724778	0.09246808674707616	microbiome
Tektite	site.time	peak_photo	0.16301418660398903	0.15395587228692265	microbiome
Yawzi	site.time	dawn	0.13994743971657858	0.1359697153400825	microbiome
Yawzi	site.time	peak_photo	0.09554405778492463	0.09091094706623537	microbiome
