label	NMDS1	NMDS2	sample_id	sample_type	sampling_date	sampling_time	sampling_day	site
CINAR_BC_36	-0.39069974726602585	-0.1956074998361797	Metab_231	seawater	20210123	dawn	Day2	Tektite
CINAR_BC_39	0.08411139259463626	-0.06461563482261665	Metab_228	seawater	20210123	dawn	Day2	Yawzi
CINAR_BC_96	0.015300316733068517	-0.015382025388466577	Metab_285	seawater	20210125	peak_photo	Day4	Yawzi
CINAR_BC_97	-0.5319386758292248	-0.1790169436837726	Metab_267	seawater	20210125	peak_photo	Day4	Yawzi
CINAR_BC_65	-0.20097037793848216	-0.17159018476266552	Metab_277	seawater	20210124	peak_photo	Day3	Tektite
CINAR_BC_60	0.16401386387043773	-0.07225419929817765	Metab_278	seawater	20210124	dawn	Day3	Tektite
CINAR_BC_107	0.14857692649908735	-0.16526471662170725	Metab_303	seawater	20210126	dawn	Day5	Yawzi
CINAR_BC_55	0.19461137768234663	-0.04367999801584086	Metab_295	seawater	20210124	dawn	Day3	Yawzi
CINAR_BC_56	-0.5393131551498801	-0.26733292272670517	Metab_290	seawater	20210124	dawn	Day3	Tektite
CINAR_BC_91	-0.06262173058472839	-0.1745266852685769	Metab_276	seawater	20210125	peak_photo	Day4	Yawzi
CINAR_BC_78	0.05670410830401001	-0.07894564238858917	Metab_225	seawater	20210123	dawn	Day2	Yawzi
CINAR_BC_82	0.13758432730531805	-0.1318495048678005	Metab_331	seawater	20210125	dawn	Day4	Yawzi
CINAR_BC_114	-0.14841831047413864	-0.19520836445594025	Metab_317	seawater	20210126	peak_photo	Day5	Yawzi
CINAR_BC_40	0.1308951483948926	-0.08325790737671274	Metab_228	seawater	20210123	dawn	Day2	Yawzi
CINAR_BC_46	-0.40949006301808477	-0.3797588981134153	Metab_230	seawater	20210123	peak_photo	Day2	Yawzi
CINAR_BC_44	-0.2723250144173403	-0.12559599997257387	Metab_227	seawater	20210123	peak_photo	Day2	Tektite
CINAR_BC_80	0.0836152994651075	-0.11868389726369609	Metab_313	seawater	20210125	dawn	Day4	Yawzi
CINAR_BC_81A	0.2874793343182597	-0.14596377066753088	Metab_319	seawater	20210125	dawn	Day4	Tektite
CINAR_BC_53	0.21998021556427066	-0.12628736809027885	Metab_284	seawater	20210124	dawn	Day3	Yawzi
CINAR_BC_76	-0.3695350315236571	-0.07240368652015919	Metab_222	seawater	20210123	dawn	Day2	Yawzi
