sample_ID	original_ID	sample_type	dna_conc	product_conc	site	sampling_date	sampling_time	sampling_day	dna_extracted	depth	fcm_label	doc_label	metab_spe_label	metab_deriv_label	fcm_Prochlorococcus	fcm_Synechococcus	fcm_Picoeukaryotes	fcm_Unpigmented_cells
Metab_191	191	seawater	8.52	39.8	LB_seagrass	20210122	dawn	Day1	20240712	2.8	200	19	117	Deriv_18	15967	63199	1497	5.94E+05
Metab_193	193	seawater	19.7	45.8	LB_seagrass	20210122	peak_photo	Day1	20240724	3.1	223	30	125	Deriv_34	6434	34048	1037	6.75E+05
Metab_194	194	seawater	9.12	28.8	LB_seagrass	20210122	dawn	Day1	20240723	2.8	203	21	116	"Deriv_22, Deriv_23, Deriv_24"	17070	62765	2048	5.99E+05
Metab_196	196	seawater	3.72	26.8	Tektite	20210122	peak_photo	Day1	20240724	7.8	214	26	132	"Deriv_29, Deriv_30*, Deriv_26"	18922	69764	985	6.18E+05
Metab_199	199	seawater		10.6	LB_seagrass	20210122	peak_photo	Day1	20221025	3.1	217	29	133	Deriv_28	7169	37948	1287	6.76E+05
Metab_219	219	seawater		49.2	LB_seagrass	20210123	dawn	Day2	20221025	3	201	38	138	Deriv_81	5436	25868	1996	4.56E+05
Metab_222	222	seawater	10.6	12.5	Yawzi	20210123	dawn	Day2	20240718	8.2	210	32	137	Deriv_76	19591	64709	1090	6.48E+05
Metab_224	224	seawater		16	Tektite	20210123	peak_photo	Day2	20221025	8.9	250	41	143	Deriv_42	18790	58590	1195	5.67E+05
Metab_225	225	seawater	10.9	22.2	Yawzi	20210123	dawn	Day2	20240718	8.2	216	31	135	Deriv_78	21942	63881	1129	6.03E+05
Metab_227	227	seawater	12.1	23.8	Tektite	20210123	peak_photo	Day2	20240711	8.9	247	43	150	Deriv_44	21193	61584	1339	6.06E+05
Metab_228	228	seawater	15.6	36.4	Yawzi	20210123	dawn	Day2	20240718	8.2	213	33	134	"Deriv_38*, Deriv_39, Deriv_40"	21075	65549	1142	6.33E+05
Metab_229	229	seawater	11.4	20.6	Tektite	20210122	dawn	Day1	20240723	8.3	215	14	121	Deriv_14	26314	78693	1300	6.38E+05
Metab_230	230	seawater	4.52	24.2	Yawzi	20210123	peak_photo	Day2	20240711	8.1	256	46	151	Deriv_46	17372	57986	1274	5.64E+05
Metab_231	231	seawater		24.6	Tektite	20210123	dawn	Day2	20221025	7.4	195	36	140	Deriv_36	25828	63645	801	5.92E+05
Metab_232	232	seawater	1.82	15.8	Tektite	20210122	dawn	Day1	20240723	8.3	218	16	120	Deriv_15	21994	64328	880	5.26E+05
Metab_233	233	seawater		47	LB_seagrass	20210123	peak_photo	Day2	20221025	3.8	262	47	145	Deriv_49	1996	16256	1339	3.78E+05
Metab_234	234	seawater	11.7	20.2	Tektite	20210123	dawn	Day2	20240718	7.4	192	34	141	Deriv_77	21732	53482	998	5.29E+05
Metab_235	235	seawater		16.7	Tektite	20210122	dawn	Day1	20221025	8.3	221	13	123	Deriv_16	24134	75857	1169	6.12E+05
Metab_236	236	seawater	3.36	34.2	Tektite	20210123	peak_photo	Day2	20240724	8.9	244	42	144	Deriv_43	21193	61531	1352	5.97E+05
Metab_237	237	seawater	7.96	52.8	LB_seagrass	20210123	dawn	Day2	20240718	3	207	39	136	Deriv_37	6263	28875	1418	5.85E+05
Metab_238	238	seawater	18.2	31.2	Yawzi	20210122	dawn	Day1	20240723	8.3	206	15	122	Deriv_17	18777	66087	1129	6.06E+05
Metab_239	239	seawater	12.4	25.8	Yawzi	20210123	peak_photo	Day2	20240711	8.1	253	45	146	Deriv_45	17385	57460	1077	5.75E+05
Metab_240	240	seawater	6.42	20.6	LB_seagrass	20210123	dawn	Day2	20240711	3	204	37	142	Deriv_41	6040	26826	1458	5.56E+05
Metab_241	241	seawater	17	35.6	Tektite	20210123	dawn	Day2	20240718	7.4	198	35	139	Deriv_79	23570	60060	1142	6.01E+05
Metab_261	261	seawater	17.2	39	Tektite	20210125	peak_photo	Day4	20240718	9.1	301	79	180	"Deriv_93, Deriv_94, Deriv_92*"	20418	51972	1182	6.01E+05
Metab_264	264	seawater	11.8	20.6	Tektite	20210125	peak_photo	Day4	20240722	9.1	304	78	185	Deriv_90	24765	64341	1261	6.38E+05
Metab_266	266	seawater	0.118	33	Tektite	20210124	peak_photo	Day3	20240722	7.3	299	64	165	Deriv_72	15744	52142	1169	4.90E+05
Metab_267	267	seawater	4.48	22.2	Yawzi	20210125	peak_photo	Day4	20240718	8.5	291	83	186	Deriv_97	19224	60231	1326	6.30E+05
Metab_269	269	seawater	11.6	38.4	Yawzi	20210124	peak_photo	Day3	20240722	8.9	298	63	164	Deriv_71	15980	60126	932	5.82E+05
Metab_270	270	seawater	0.694	42.8	Tektite	20210125	peak_photo	Day4	20240718	9.1	288	80	183	Deriv_98	23439	55714	1392	5.91E+05
Metab_271	271	seawater	8.68	30.4	Yawzi	20210124	peak_photo	Day3	20240722	8.9	260	61	163	Deriv_67	20156	70355	1458	6.68E+05
Metab_272	272	seawater	13.4	28	LB_seagrass	20210124	dawn	Day3	20240724	3.4	242	56	153	Deriv_57	2377	18396	1602	3.03E+05
Metab_273	273	seawater	1	43.8	LB_seagrass	20210125	peak_photo	Day4	20240718	3.6	297	85	181	Deriv_99	13538	68582	1668	7.04E+05
Metab_274	274	seawater	9.66	35.2	Yawzi	20210124	peak_photo	Day3	20240722	8.9	263	62	168	Deriv_69	16492	56633	1339	5.69E+05
Metab_275	275	seawater	11.3	16.8	Tektite	20210124	dawn	Day3	20240724	6.6	251	53	157	Deriv_62	24607	62949	1129	5.40E+05
Metab_276	276	seawater	14.4	31	Yawzi	20210125	peak_photo	Day4	20240718	8.5	307	81	187	Deriv_91	19407	63343	1169	6.44E+05
