grouping	sample_id	dispersion	metab_deriv_label	sample_type	sampling_date	sampling_time	sampling_day	site
all	Metab_325	0.4813423180323662	CINAR_BC_86	seawater	20210125	dawn	Day4	Yawzi
all	Metab_326	0.5264223821367469	CINAR_BC_117	seawater	20210126	peak_photo	Day5	LB_seagrass
all	Metab_327	0.4710132307782901	CINAR_BC_102	seawater	20210126	dawn	Day5	Yawzi
all	Metab_328	0.47182519257851735	CINAR_BC_87	seawater	20210125	dawn	Day4	LB_seagrass
all	Metab_329	0.47307127523404874	CINAR_BC_119	seawater	20210126	peak_photo	Day5	LB_seagrass
all	Metab_331	0.4777967570567792	CINAR_BC_82	seawater	20210125	dawn	Day4	Yawzi
all	Metab_332	0.4688146034987961	CINAR_BC_120	seawater	20210126	peak_photo	Day5	LB_seagrass
all	Metab_334	0.4822957059298976	CINAR_BC_83	seawater	20210125	dawn	Day4	LB_seagrass
all	Metab_337	0.47069096255258125	CINAR_BC_85	seawater	20210125	dawn	Day4	LB_seagrass
site.time	Metab_219	0.1956600941769699	CINAR_BC_81B	seawater	20210123	dawn	Day2	LB_seagrass
site.time	Metab_237	0.09631845559774535	CINAR_BC_37	seawater	20210123	dawn	Day2	LB_seagrass
site.time	Metab_240	0.09914520641013612	CINAR_BC_41	seawater	20210123	dawn	Day2	LB_seagrass
site.time	Metab_272	0.09620399465071498	CINAR_BC_57	seawater	20210124	dawn	Day3	LB_seagrass
site.time	Metab_281	0.14288747437200186	CINAR_BC_63	seawater	20210124	dawn	Day3	LB_seagrass
site.time	Metab_287	0.12933703500419735	CINAR_BC_54	seawater	20210124	dawn	Day3	LB_seagrass
site.time	Metab_309	0.11951281219667101	CINAR_BC_109	seawater	20210126	dawn	Day5	LB_seagrass
site.time	Metab_318	0.08711818785937638	CINAR_BC_110	seawater	20210126	dawn	Day5	LB_seagrass
site.time	Metab_324	0.11246547616865842	CINAR_BC_103	seawater	20210126	dawn	Day5	LB_seagrass
site.time	Metab_328	0.0813839830645039	CINAR_BC_87	seawater	20210125	dawn	Day4	LB_seagrass
site.time	Metab_334	0.12493579129694111	CINAR_BC_83	seawater	20210125	dawn	Day4	LB_seagrass
site.time	Metab_337	0.07643211913728026	CINAR_BC_85	seawater	20210125	dawn	Day4	LB_seagrass
site.time	Metab_222	0.20801340470731738	CINAR_BC_76	seawater	20210123	dawn	Day2	Yawzi
site.time	Metab_225	0.11960873642394171	CINAR_BC_78	seawater	20210123	dawn	Day2	Yawzi
site.time	Metab_228	0.15414675760219618	CINAR_BC_38	seawater	20210123	dawn	Day2	Yawzi
site.time	Metab_284	0.15344006102318614	CINAR_BC_53	seawater	20210124	dawn	Day3	Yawzi
site.time	Metab_292	0.13887535054076866	CINAR_BC_61	seawater	20210124	dawn	Day3	Yawzi
site.time	Metab_295	0.1350315341709393	CINAR_BC_55	seawater	20210124	dawn	Day3	Yawzi
site.time	Metab_303	0.12778901678931065	CINAR_BC_107	seawater	20210126	dawn	Day5	Yawzi
site.time	Metab_306	0.1144152094660614	CINAR_BC_111	seawater	20210126	dawn	Day5	Yawzi
site.time	Metab_313	0.12236652303853136	CINAR_BC_80	seawater	20210125	dawn	Day4	Yawzi
site.time	Metab_325	0.15274494147829204	CINAR_BC_86	seawater	20210125	dawn	Day4	Yawzi
site.time	Metab_327	0.11602984484917256	CINAR_BC_102	seawater	20210126	dawn	Day5	Yawzi
site.time	Metab_331	0.1369078965092257	CINAR_BC_82	seawater	20210125	dawn	Day4	Yawzi
site.time	Metab_231	0.09099932762827069	CINAR_BC_36	seawater	20210123	dawn	Day2	Tektite
site.time	Metab_234	0.0875371023802126	CINAR_BC_77	seawater	20210123	dawn	Day2	Tektite
site.time	Metab_241	0.20832988662441726	CINAR_BC_79	seawater	20210123	dawn	Day2	Tektite
site.time	Metab_275	0.08421348470396332	CINAR_BC_62	seawater	20210124	dawn	Day3	Tektite
site.time	Metab_278	0.09393684586588165	CINAR_BC_58	seawater	20210124	dawn	Day3	Tektite
site.time	Metab_290	0.1020571569951179	CINAR_BC_56	seawater	20210124	dawn	Day3	Tektite
site.time	Metab_312	0.07983602065669113	CINAR_BC_101	seawater	20210126	dawn	Day5	Tektite
site.time	Metab_315	0.07919604358923192	CINAR_BC_108	seawater	20210126	dawn	Day5	Tektite
site.time	Metab_316	0.09913610839304358	CINAR_BC_84	seawater	20210125	dawn	Day4	Tektite
site.time	Metab_319	0.1246160257840902	CINAR_BC_81A	seawater	20210125	dawn	Day4	Tektite
site.time	Metab_321	0.08116197399191631	CINAR_BC_104	seawater	20210126	dawn	Day5	Tektite
site.time	Metab_322	0.09731512115413672	CINAR_BC_75	seawater	20210125	dawn	Day4	Tektite
site.time	Metab_183	0.189468917261706	CINAR_BC_48	seawater	20210123	peak_photo	Day2	LB_seagrass
site.time	Metab_189	0.201208207166246	CINAR_BC_52	seawater	20210123	peak_photo	Day2	LB_seagrass
site.time	Metab_233	0.16895479968427776	CINAR_BC_49	seawater	20210123	peak_photo	Day2	LB_seagrass
