Source,Target,Type,Weight
1,2,Undirected,0.2928787412651974
1,3,Undirected,0.292876327306947
1,4,Undirected,0.2929017000140236
1,5,Undirected,0.29290680915698686
1,6,Undirected,0.2928994372410013
1,7,Undirected,0.2929001191662025
1,8,Undirected,0.29287720899318714
1,9,Undirected,0.29288567178172176
1,10,Undirected,0.29289357798230975
1,11,Undirected,0.29288113183876163
1,12,Undirected,0.2928791190282588
1,13,Undirected,0.2929045560173916
1,14,Undirected,0.29288357449728286
1,15,Undirected,0.29288315913239926
1,16,Undirected,0.2928921917552203
1,17,Undirected,0.29289663918653175
1,18,Undirected,0.29289341962697135
1,19,Undirected,0.2928788785095999
1,20,Undirected,0.29288341525125416
1,21,Undirected,0.2928932188134524
1,22,Undirected,0.2928628662434072
1,23,Undirected,0.2928932188134524
1,24,Undirected,0.2929103971581186
1,25,Undirected,0.29290579703746134
1,26,Undirected,0.29288481873740524
1,27,Undirected,0.29288740783442224
1,28,Undirected,0.2928993819321578
1,29,Undirected,0.29289108275679065
1,30,Undirected,0.29296156902773063
1,31,Undirected,0.2929094361669353
1,32,Undirected,0.29289349167690404
1,33,Undirected,0.29288682031687185
1,34,Undirected,0.29288717324282953
1,35,Undirected,0.29288661214778167
1,36,Undirected,0.2928932188134524
1,37,Undirected,0.29289518947707105
1,38,Undirected,0.2928911791081359
1,39,Undirected,0.29288741564035936
1,40,Undirected,0.29290615643485696
1,41,Undirected,0.2928874063811703
1,42,Undirected,0.2929012915133403
1,43,Undirected,0.2932428921332063
1,44,Undirected,0.2928953683469605
1,45,Undirected,0.2929070646473755
1,46,Undirected,0.2929435324522033
1,47,Undirected,0.29288824553638526
1,48,Undirected,0.2928905959714788
1,49,Undirected,0.29290794701604816
1,50,Undirected,0.292890101507723
1,51,Undirected,0.29289884357781915
1,52,Undirected,0.29289281330310923
1,53,Undirected,0.2928967176974502
1,54,Undirected,0.29288884389845204
1,55,Undirected,0.29290315835130676
1,56,Undirected,0.2928946353755624
1,57,Undirected,0.2928932187644653
1,58,Undirected,0.29291533947823567
1,59,Undirected,0.2928932188134524
1,60,Undirected,0.2928932178303343
1,61,Undirected,0.29289542942049707
1,62,Undirected,0.2928932188134524
1,63,Undirected,0.29300116183070124
1,64,Undirected,0.29289306891601086
1,65,Undirected,0.29294454934319913
1,66,Undirected,0.2928932188134524
1,67,Undirected,0.29291065500229707
1,68,Undirected,0.30453374734601946
1,69,Undirected,0.2929181498788208
1,70,Undirected,0.2928980982708703
1,71,Undirected,0.29354146778703316
1,72,Undirected,0.2929005666596042
1,73,Undirected,0.2931297195351301
1,74,Undirected,0.2938565435459346
1,75,Undirected,0.29293884798309355
1,76,Undirected,0.29289321768654264
1,77,Undirected,0.2928936360932054
1,78,Undirected,0.29293383697155906
1,79,Undirected,0.2928932188134524
1,80,Undirected,0.2928932617336083
1,81,Undirected,0.2928931190646886
1,82,Undirected,0.29289324018384
1,83,Undirected,0.29289335810460415
1,84,Undirected,0.29289311590018174
1,85,Undirected,0.29289325424333146
1,86,Undirected,0.29289397066590184
1,87,Undirected,0.29289305924641473
1,88,Undirected,0.29289326650913095
1,89,Undirected,0.29289276913365925
1,90,Undirected,0.2928937726241293
1,91,Undirected,0.29289604924303547
1,92,Undirected,0.2928932798784859
1,93,Undirected,0.29289321997550266
1,94,Undirected,0.29289325319387205
1,95,Undirected,0.2928932333104064
1,96,Undirected,0.2928932188584149
1,97,Undirected,0.2928932189730319
1,98,Undirected,0.2928934606410397
1,99,Undirected,0.2928931894947351
1,100,Undirected,0.2928936319222383
1,101,Undirected,0.29289298531928165
1,102,Undirected,0.29289324554673346
1,103,Undirected,0.29289281214370766
1,104,Undirected,0.29289322036142496
1,105,Undirected,0.2928926948535717
1,106,Undirected,0.29289299294271576
1,107,Undirected,0.2928932242229091
1,108,Undirected,0.2928929185049225
1,109,Undirected,0.2928933026618814
1,110,Undirected,0.2928930524767942
1,111,Undirected,0.29289309490543625
1,112,Undirected,0.2928932191883583
1,113,Undirected,0.2928935769537413
1,114,Undirected,0.2928930251128029
1,115,Undirected,0.2928932672865201
1,116,Undirected,0.29289325735984184
1,117,Undirected,0.2928977349652998
1,118,Undirected,0.2928929603075644
1,119,Undirected,0.2928932572674948
1,120,Undirected,0.29289321898661036
1,121,Undirected,0.2928939368524236
1,122,Undirected,0.2928928736331634
2,3,Undirected,0.3466512628929789
2,4,Undirected,0.2598115301335908
2,5,Undirected,0.2506346227171057
2,6,Undirected,0.26589318131595696
2,7,Undirected,0.2584744936065383
2,8,Undirected,0.3346587820675587
2,9,Undirected,0.3318018130449947
2,10,Undirected,0.29131422688793407
2,11,Undirected,0.3518161764150951
2,12,Undirected,0.3566570607174536
2,13,Undirected,0.24623776608248804
2,14,Undirected,0.33646897120084285
2,15,Undirected,0.35218012707787427
2,16,Undirected,0.29573134573284576
2,17,Undirected,0.27734572629491205
2,18,Undirected,0.292250425241097
2,19,Undirected,0.34787058648026636
2,20,Undirected,0.337737393186747
2,21,Undirected,0.2928932188134524
2,22,Undirected,0.31101645234744557
2,23,Undirected,0.2928932188134524
2,24,Undirected,0.23753674054172402
2,25,Undirected,0.23975840560102102
2,26,Undirected,0.31743050397563755
2,27,Undirected,0.31892769836453805
2,28,Undirected,0.26718775662143146
2,29,Undirected,0.30150903896072456
2,30,Undirected,0.292571795465675
2,31,Undirected,0.26083821541858865
2,32,Undirected,0.29169560358650237
2,33,Undirected,0.3263342525018289
2,34,Undirected,0.321566907858043
2,35,Undirected,0.3272787161084285
2,36,Undirected,0.2928932188134524
2,37,Undirected,0.2844348964789756
2,38,Undirected,0.3026589795816639
2,39,Undirected,0.31936092696529417
2,40,Undirected,0.24732381754176613
2,41,Undirected,0.3186214066246832
2,42,Undirected,0.2596092273437064
2,43,Undirected,0.2924238200682667
2,44,Undirected,0.28386883697751897
2,45,Undirected,0.24332699217985998
2,46,Undirected,0.25773064940835233
2,47,Undirected,0.3155850379376228
2,48,Undirected,0.30342821400949993
2,49,Undirected,0.24811238252498657
